rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,23.515384,4.415989,18.617752,0.192009,0.136140,0.143181,0.008719,0.001452,0.000129
1,1,False,True,24.544125,4.593282,19.096389,0.177632,0.134922,0.147039,0.191927,0.046183,0.156724
2,2,False,True,24.520169,4.831310,18.526756,0.164693,0.136336,0.144051,0.289009,0.078386,0.349608
3,3,False,True,25.142287,4.830933,18.842495,0.150678,0.135253,0.143737,0.342884,0.108123,0.588163
4,4,False,True,25.970934,4.585329,19.634347,0.149732,0.136898,0.144167,0.387938,0.140975,0.791519
5,5,False,True,25.509217,4.592968,18.502257,0.130435,0.136851,0.144838,0.359193,0.174267,1.468387
6,6,False,True,25.664454,4.513750,18.719014,0.123309,0.134413,0.142462,0.385017,0.223561,1.422905
7,7,False,True,25.895453,4.490340,18.783689,0.115611,0.134165,0.141430,0.360225,0.237909,1.632059
8,8,False,True,25.882896,4.571897,18.358648,0.106526,0.133884,0.142489,0.337086,0.262654,1.969683
9,9,False,True,26.733600,4.586887,18.417405,0.101428,0.132004,0.139796,0.318442,0.285439,2.752177
10,10,False,True,27.160960,4.623946,18.574147,0.102286,0.134353,0.142808,0.320665,0.306934,2.955802
inf,inf,False,True,31.588203,4.576477,18.304842,0.065490,0.130568,0.139957,0.255965,0.546202,7.568647
