key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
num_read,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149
num_writes,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
num_ops,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193
num_rw_time_edges,220,205,186,168,133,114,100,93,73,66,64,0,226,211,192,174,139,120,106,99,79,70,67,0
num_ww_time_edges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_time_edges,220,205,186,168,133,114,100,93,73,66,64,0,226,211,192,174,139,120,106,99,79,70,67,0
num_harmful,0,15,34,52,87,106,120,127,147,154,156,220,0,15,34,52,87,106,120,127,147,156,159,226
num_commute,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508
num_races,3328,3343,3362,3380,3415,3434,3448,3455,3475,3482,3484,3548,3508,3523,3542,3560,3595,3614,3628,3635,3655,3664,3667,3734
num_covered,0,0,1,1,1,1,1,1,1,3,5,67,0,4,10,14,22,24,26,27,31,31,31,31
num_per_pkt_races,0,9,19,27,45,54,60,64,74,76,76,76,0,9,19,27,45,54,60,64,74,76,76,76
num_per_pkt_inconsistent,0,6,14,22,39,49,57,60,70,73,73,73,0,3,9,14,27,35,41,43,50,53,53,53
num_per_pkt_inconsistent_covered,0,0,1,1,1,1,1,1,1,1,1,3,0,3,6,9,14,15,17,18,21,21,21,21
num_per_pkt_entry_version_race,0,3,4,4,5,4,2,3,3,2,2,0,0,3,4,4,4,4,2,3,3,2,2,2
num_per_pkt_inconsistent_no_repeat,0,4,5,5,5,5,5,5,5,6,7,5,0,3,4,4,4,4,4,4,4,5,6,4
