key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
num_read,903,903,903,903,903,903,903,903,903,903,903,903,903,903,903,903,903,903,903,903,903,903,903,903
num_writes,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332
num_ops,3235,3235,3235,3235,3235,3235,3235,3235,3235,3235,3235,3235,3235,3235,3235,3235,3235,3235,3235,3235,3235,3235,3235,3235
num_rw_time_edges,3965,3801,3706,3617,3508,3379,3232,3118,3001,2923,2884,0,3971,3803,3708,3618,3508,3379,3232,3118,3001,2923,2884,0
num_ww_time_edges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_time_edges,3965,3801,3706,3617,3508,3379,3232,3118,3001,2923,2884,0,3971,3803,3708,3618,3508,3379,3232,3118,3001,2923,2884,0
num_harmful,0,164,259,348,457,586,733,847,964,1042,1081,3965,0,168,263,353,463,592,739,853,970,1048,1087,3971
num_commute,458813,458813,458813,458813,458813,458813,458813,458813,458813,458813,458813,458813,705391,705391,705391,705391,705391,705391,705391,705391,705391,705391,705391,705391
num_races,458813,458977,459072,459161,459270,459399,459546,459660,459777,459855,459894,462778,705391,705559,705654,705744,705854,705983,706130,706244,706361,706439,706478,709362
num_covered,0,19,26,26,27,30,33,39,52,67,78,1915,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_races,0,77,111,145,189,215,232,244,255,256,256,257,0,77,111,146,190,216,233,245,256,257,257,258
num_per_pkt_inconsistent,0,41,69,99,132,164,176,188,194,194,194,194,0,41,69,99,132,164,176,188,194,194,194,194
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,36,42,46,57,51,56,56,61,62,62,29,0,36,42,47,58,52,57,57,62,63,63,64
num_per_pkt_inconsistent_no_repeat,0,41,69,93,124,155,161,173,173,163,165,162,0,41,67,91,122,153,159,171,170,160,162,159
