key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745
num_edges,2564,2556,2552,2546,2543,2533,2532,2525,2516,2504,2482,2110
num_ops,472,472,472,472,472,472,472,472,472,472,472,472
num_read,334,334,334,334,334,334,334,334,334,334,334,334
num_writes,138,138,138,138,138,138,138,138,138,138,138,138
num_time_edges,786,748,686,641,607,553,506,465,431,399,372,0
num_races,16884,16884,16884,16884,16884,16884,16884,16884,16884,16884,16884,16884
num_harmful,0,36,95,140,172,218,264,299,327,349,360,496
num_commute,16098,16098,16098,16098,16098,16098,16098,16098,16098,16098,16098,16098
num_covered,0,2,5,5,7,15,16,22,28,38,54,290
num_time_filtered_races,786,748,686,641,607,553,506,465,431,399,372,0
num_pkts,153,153,153,153,153,153,153,153,153,153,153,153
num_per_pkt_races,0,24,48,61,76,94,116,130,142,149,149,149
num_per_pkt_inconsistent,0,13,29,41,46,59,74,80,89,92,93,93
num_per_pkt_inconsistent_covered,0,0,0,0,2,2,2,2,2,6,6,29
num_per_pkt_entry_version_race,0,11,19,20,28,33,40,48,51,51,50,27
num_per_pkt_inconsistent_no_repeat,0,12,22,26,27,32,36,33,38,35,42,30
num_versions,103,103,103,103,103,103,103,103,103,103,103,103
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
