rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,1745,2564,472,334,138,786,16884,0,16098,0,786,153,0,0,0,0,0,103,0
1,1,False,True,1745,2556,472,334,138,748,16884,36,16098,2,748,153,24,13,0,11,12,103,0
2,2,False,True,1745,2552,472,334,138,686,16884,95,16098,5,686,153,48,29,0,19,22,103,0
3,3,False,True,1745,2546,472,334,138,641,16884,140,16098,5,641,153,61,41,0,20,26,103,0
4,4,False,True,1745,2543,472,334,138,607,16884,172,16098,7,607,153,76,46,2,28,27,103,0
5,5,False,True,1745,2533,472,334,138,553,16884,218,16098,15,553,153,94,59,2,33,32,103,0
6,6,False,True,1745,2532,472,334,138,506,16884,264,16098,16,506,153,116,74,2,40,36,103,0
7,7,False,True,1745,2525,472,334,138,465,16884,299,16098,22,465,153,130,80,2,48,33,103,0
8,8,False,True,1745,2516,472,334,138,431,16884,327,16098,28,431,153,142,89,2,51,38,103,0
9,9,False,True,1745,2504,472,334,138,399,16884,349,16098,38,399,153,149,92,6,51,35,103,0
10,10,False,True,1745,2482,472,334,138,372,16884,360,16098,54,372,153,149,93,6,50,42,103,0
inf,inf,False,True,1745,2110,472,334,138,0,16884,496,16098,290,0,153,149,93,29,27,30,103,0
