rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,69.113547,31.235666,25.969432,6.175615,0.017963,0.107934,5.596680,0.010054,-0.000160
1,1,False,True,81.294760,28.778152,24.503376,5.714089,0.018879,0.114757,22.042453,0.122572,-0.000414
2,2,False,True,100.610348,34.544930,26.108301,5.949000,0.021425,0.125628,33.662550,0.198235,-0.000237
3,3,False,True,108.140661,29.469879,24.296566,5.688191,0.018274,0.119921,48.188385,0.359050,-0.000354
4,4,False,True,124.748790,32.190692,24.329568,5.585967,0.018013,0.114286,61.987524,0.522170,-0.000530
5,5,False,True,139.051034,31.289228,25.610214,5.575433,0.017950,0.117546,75.761739,0.678334,-0.000545
6,6,False,True,134.644112,29.574505,24.860442,4.669447,0.019980,0.112973,74.556866,0.849412,-0.000446
7,7,False,True,140.768487,30.333460,22.746266,4.762791,0.018375,0.110835,81.912871,0.883416,-0.000435
8,8,False,True,145.207789,29.854250,23.044418,4.696610,0.018947,0.109618,86.472585,1.010837,-0.000486
9,9,False,True,145.597263,30.347984,24.433656,4.726560,0.020691,0.119991,84.922949,1.024835,-0.000556
10,10,False,True,149.735339,30.829898,23.039371,4.649510,0.017942,0.112017,89.994801,1.091254,-0.000506
inf,inf,False,True,241.628096,29.632065,21.608936,4.259205,0.021706,0.110325,182.957984,3.035902,-0.001916
