rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,False,880,1235,225,181,44,278,4059,0,3781,0,278,76,0,0,0,0,0,11,0
1,1,False,False,880,1212,225,181,44,255,4059,23,3781,0,255,76,9,6,0,3,4,11,0
2,2,False,False,880,1185,225,181,44,228,4059,50,3781,0,228,76,19,15,0,4,6,11,0
3,3,False,False,880,1165,225,181,44,208,4059,70,3781,0,208,76,27,23,0,4,6,11,0
4,4,False,False,880,1126,225,181,44,169,4059,109,3781,0,169,76,45,40,0,5,6,11,0
5,5,False,False,880,1103,225,181,44,146,4059,132,3781,0,146,76,54,50,0,4,6,11,0
6,6,False,False,880,1089,225,181,44,132,4059,146,3781,0,132,76,60,58,0,2,6,11,0
7,7,False,False,880,1078,225,181,44,121,4059,157,3781,0,121,76,64,61,0,3,6,11,0
8,8,False,False,880,1054,225,181,44,97,4059,181,3781,0,97,76,74,71,0,3,6,11,0
9,9,False,False,880,1047,225,181,44,90,4059,188,3781,0,90,76,76,74,0,2,7,11,0
10,10,False,False,880,1041,225,181,44,84,4059,194,3781,0,84,76,76,74,0,2,8,11,0
inf,inf,False,False,880,957,225,181,44,0,4059,278,3781,0,0,76,76,74,0,2,6,11,0
