rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.860707,0.468913,0.221412,0.026042,0.000908,0.004692,0.138345,0.000377,0.000009
1,1,False,True,0.888438,0.469424,0.220740,0.025654,0.000892,0.004673,0.164575,0.002453,0.000019
2,2,False,True,0.921469,0.474030,0.214523,0.024857,0.000919,0.004669,0.199446,0.002992,0.000023
3,3,False,True,0.955730,0.486154,0.212975,0.024724,0.000954,0.004806,0.221707,0.004373,0.000029
4,4,False,True,1.118181,0.471696,0.208540,0.023925,0.000893,0.004672,0.399484,0.008900,0.000053
5,5,False,True,1.047366,0.470695,0.205859,0.023332,0.000906,0.004676,0.333995,0.007851,0.000043
6,6,False,True,1.065055,0.471055,0.203580,0.022873,0.000883,0.004670,0.353211,0.008726,0.000047
7,7,False,True,1.085404,0.470576,0.202731,0.022575,0.000891,0.004664,0.374443,0.009468,0.000047
8,8,False,True,1.024434,0.471238,0.200877,0.022610,0.000892,0.004644,0.312848,0.011263,0.000054
9,9,False,True,1.002550,0.475488,0.198381,0.022210,0.000899,0.004638,0.289401,0.011469,0.000053
10,10,False,True,1.014640,0.466397,0.195652,0.022433,0.000953,0.004593,0.312479,0.012070,0.000055
inf,inf,False,True,1.046644,0.473532,0.194239,0.019051,0.000870,0.004622,0.338506,0.015740,0.000075
