rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.875071,0.544702,0.199888,0.020602,0.000871,0.012042,0.096443,0.000480,-0.000011
1,1,False,True,0.891055,0.548340,0.200506,0.020538,0.000868,0.012447,0.106354,0.001952,-0.000016
2,2,False,True,0.905612,0.550087,0.196899,0.019719,0.001029,0.012876,0.121450,0.003493,-0.000022
3,3,False,True,0.915063,0.545046,0.192721,0.019467,0.000855,0.012537,0.139694,0.004681,-0.000025
4,4,False,True,0.983008,0.557102,0.190998,0.017274,0.000858,0.011928,0.196546,0.008230,-0.000035
5,5,False,True,0.999223,0.549858,0.189866,0.016173,0.000838,0.012751,0.220501,0.009159,-0.000040
6,6,False,True,1.027082,0.549227,0.191847,0.016410,0.000856,0.013538,0.244527,0.010601,-0.000043
7,7,False,True,1.021778,0.547641,0.191185,0.015723,0.000819,0.013049,0.241805,0.011474,-0.000045
8,8,False,True,0.988785,0.552180,0.188643,0.015634,0.000860,0.013585,0.204353,0.013446,-0.000051
9,9,False,True,0.958769,0.545574,0.187218,0.015073,0.001851,0.016441,0.178993,0.013531,-0.000052
10,10,False,True,0.975542,0.554159,0.189357,0.015540,0.000872,0.013251,0.188286,0.013987,-0.000053
inf,inf,False,True,0.961562,0.557727,0.184105,0.012099,0.000804,0.013121,0.175780,0.017817,-0.000069
