rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,False,476,679,89,71,18,173,1336,0,1163,0,173,73,0,0,0,0,0,5,0
1,1,False,False,476,657,89,71,18,151,1336,22,1163,0,151,73,13,0,0,13,0,5,0
2,2,False,False,476,633,89,71,18,127,1336,46,1163,0,127,73,27,0,0,27,0,5,0
3,3,False,False,476,614,89,71,18,108,1336,65,1163,0,108,73,42,0,0,42,0,5,0
4,4,False,False,476,595,89,71,18,89,1336,84,1163,0,89,73,53,0,0,53,0,5,0
5,5,False,False,476,591,89,71,18,85,1336,88,1163,0,85,73,55,0,0,55,0,5,0
6,6,False,False,476,590,89,71,18,84,1336,89,1163,0,84,73,56,0,0,56,0,5,0
7,7,False,False,476,584,89,71,18,78,1336,95,1163,0,78,73,59,0,0,59,0,5,0
8,8,False,False,476,573,89,71,18,67,1336,106,1163,0,67,73,66,0,0,66,0,5,0
9,9,False,False,476,564,89,71,18,58,1336,115,1163,0,58,73,70,0,0,70,0,5,0
10,10,False,False,476,542,89,71,18,36,1336,137,1163,0,36,73,71,0,0,71,0,5,0
inf,inf,False,False,476,506,89,71,18,0,1336,173,1163,0,0,73,71,0,0,71,0,5,0
