rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.619884,0.356500,0.107692,0.023655,0.000415,0.081378,0.049741,0.000458,-0.000008
0,0,True,True,0.609477,0.354405,0.101621,0.021424,0.000391,0.080844,0.050287,0.000463,-0.000008
1,1,False,True,0.605493,0.348438,0.100710,0.020743,0.000428,0.075630,0.057707,0.001792,-0.000012
1,1,True,True,0.634315,0.364218,0.108469,0.017140,0.000424,0.083767,0.058232,0.002021,-0.000012
2,2,True,True,0.623540,0.354827,0.099523,0.015453,0.000424,0.078353,0.071245,0.003667,-0.000016
2,2,False,True,0.626094,0.347712,0.100337,0.020484,0.000488,0.076518,0.076805,0.003586,-0.000016
3,3,False,True,0.666813,0.343759,0.100868,0.022149,0.000452,0.083055,0.110552,0.005870,0.000000
3,3,True,True,0.648404,0.351071,0.099072,0.013935,0.000436,0.079207,0.100022,0.004610,-0.000019
4,4,True,True,0.769618,0.416468,0.112444,0.015896,0.000834,0.097122,0.119620,0.007138,0.000000
4,4,False,True,0.699132,0.360436,0.099324,0.019220,0.000409,0.082220,0.130359,0.007107,-0.000024
5,5,False,True,0.676995,0.347322,0.098874,0.019491,0.000387,0.076659,0.126141,0.008063,-0.000024
5,5,True,True,0.671026,0.349163,0.094325,0.013159,0.000381,0.082077,0.124626,0.007205,-0.000090
6,6,False,True,0.701508,0.349422,0.107832,0.019814,0.000403,0.088094,0.128577,0.007306,-0.000023
6,6,True,True,0.796110,0.461654,0.098923,0.015564,0.000435,0.085253,0.127557,0.006665,-0.000023
7,7,False,True,0.681298,0.346640,0.098112,0.018308,0.000390,0.079533,0.130674,0.007580,-0.000024
7,7,True,True,0.698820,0.364079,0.097102,0.012333,0.000375,0.085133,0.131544,0.008199,-0.000025
8,8,True,True,0.686782,0.355824,0.095459,0.012197,0.000433,0.082324,0.131583,0.008902,-0.000027
8,8,False,True,0.686824,0.348419,0.108855,0.017784,0.000386,0.079055,0.124411,0.007830,-0.000084
9,9,False,True,0.679975,0.345694,0.101633,0.018204,0.000459,0.076767,0.127503,0.009655,-0.000026
9,9,True,True,0.661946,0.348717,0.098049,0.012047,0.000373,0.077154,0.116826,0.008714,-0.000029
10,10,True,True,0.710986,0.360314,0.106604,0.012813,0.000384,0.080809,0.139916,0.010077,-0.000032
10,10,False,True,0.771241,0.420347,0.095509,0.018182,0.000415,0.085694,0.140173,0.010854,-0.000032
inf,inf,False,True,0.699178,0.346594,0.094196,0.015603,0.000391,0.079914,0.149173,0.013229,-0.000036
inf,inf,True,True,0.714446,0.354206,0.095769,0.011142,0.000679,0.077650,0.160003,0.014899,-0.000038
