rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.388827,0.232112,0.085162,0.017018,0.000259,0.011620,0.042205,0.000412,-0.000007
1,1,False,True,0.390773,0.234533,0.078079,0.015726,0.000272,0.011310,0.049091,0.001717,-0.000012
2,2,False,True,0.401841,0.233653,0.075447,0.014414,0.000267,0.011286,0.063629,0.003094,-0.000019
3,3,False,True,0.427302,0.236349,0.075454,0.014155,0.000274,0.011345,0.084795,0.004872,-0.000026
4,4,False,True,0.434437,0.229918,0.073375,0.013637,0.000262,0.011531,0.098767,0.006883,-0.000031
5,5,False,True,0.440993,0.231465,0.072995,0.013517,0.000264,0.011977,0.104125,0.006587,-0.000031
6,6,False,True,0.438583,0.229874,0.073402,0.013525,0.000263,0.012140,0.102072,0.007238,-0.000033
7,7,False,True,0.440564,0.228757,0.072647,0.013244,0.000262,0.011947,0.106308,0.007331,-0.000033
8,8,False,True,0.446877,0.238679,0.073750,0.013125,0.000272,0.011725,0.100905,0.008348,-0.000036
9,9,False,True,0.430735,0.230397,0.072207,0.012648,0.000260,0.011579,0.094626,0.008947,-0.000038
10,10,False,True,0.438477,0.232634,0.070810,0.011705,0.000304,0.011603,0.101698,0.009646,-0.000043
inf,inf,False,True,0.457612,0.235306,0.069646,0.009876,0.000260,0.012021,0.119541,0.010876,-0.000053
