key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415
num_edges,2186,2159,2150,2134,2126,2121,2109,2107,2098,2063,2041,1689
num_ops,524,524,524,524,524,524,524,524,524,524,524,524
num_read,378,378,378,378,378,378,378,378,378,378,378,378
num_writes,146,146,146,146,146,146,146,146,146,146,146,146
num_time_edges,875,806,715,639,590,553,508,478,449,391,355,0
num_races,21597,21597,21597,21597,21597,21597,21597,21597,21597,21597,21597,21597
num_harmful,0,69,153,228,273,307,344,373,396,443,471,756
num_commute,20722,20722,20722,20722,20722,20722,20722,20722,20722,20722,20722,20722
num_covered,0,0,7,8,12,15,23,24,30,41,49,119
num_time_filtered_races,875,806,715,639,590,553,508,478,449,391,355,0
num_pkts,163,163,163,163,163,163,163,163,163,163,163,163
num_per_pkt_races,0,37,66,90,105,116,128,138,147,156,160,161
num_per_pkt_inconsistent,0,12,30,47,60,70,81,89,97,102,106,106
num_per_pkt_inconsistent_covered,0,0,7,8,8,8,8,8,10,13,15,24
num_per_pkt_entry_version_race,0,25,29,35,37,38,39,41,40,41,39,31
num_per_pkt_inconsistent_no_repeat,0,10,19,20,22,23,25,24,26,31,33,24
num_versions,93,93,93,93,93,93,93,93,93,93,93,93
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
