rw_delta,ww_delta,alt_barr,data_deps,num_read,num_writes,num_ops,num_rw_time_edges,num_ww_time_edges,num_time_edges,num_harmful,num_commute,num_races,num_covered,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat
0,0,True,True,378,146,524,876,0,876,0,21133,21133,0,0,0,0,0,0
0,0,False,True,378,146,524,875,0,875,0,20722,20722,0,0,0,0,0,0
1,1,True,True,378,146,524,806,0,806,70,21133,21203,0,37,12,0,25,10
1,1,False,True,378,146,524,806,0,806,69,20722,20791,0,37,12,0,25,10
2,2,False,True,378,146,524,715,0,715,160,20722,20882,7,66,30,7,29,19
2,2,True,True,378,146,524,715,0,715,161,21133,21294,0,66,30,0,36,19
3,3,False,True,378,146,524,639,0,639,236,20722,20958,8,90,47,8,35,20
3,3,True,True,378,146,524,639,0,639,237,21133,21370,0,90,47,0,43,20
4,4,True,True,378,146,524,590,0,590,286,21133,21419,0,105,60,0,45,22
4,4,False,True,378,146,524,590,0,590,285,20722,21007,12,105,60,8,37,22
5,5,False,True,378,146,524,553,0,553,322,20722,21044,15,116,70,8,38,23
5,5,True,True,378,146,524,553,0,553,323,21133,21456,0,116,70,0,46,23
6,6,False,True,378,146,524,508,0,508,367,20722,21089,23,128,81,8,39,25
6,6,True,True,378,146,524,508,0,508,368,21133,21501,0,128,81,0,47,25
7,7,True,True,378,146,524,478,0,478,398,21133,21531,0,138,89,0,49,24
7,7,False,True,378,146,524,478,0,478,397,20722,21119,24,138,89,8,41,24
8,8,True,True,378,146,524,449,0,449,427,21133,21560,0,147,97,0,50,26
8,8,False,True,378,146,524,449,0,449,426,20722,21148,30,147,97,10,40,26
9,9,False,True,378,146,524,391,0,391,484,20722,21206,41,156,102,13,41,31
9,9,True,True,378,146,524,391,0,391,485,21133,21618,0,156,102,0,54,31
10,10,False,True,378,146,524,355,0,355,520,20722,21242,49,160,106,15,39,33
10,10,True,True,378,146,524,355,0,355,521,21133,21654,0,160,106,0,54,33
inf,inf,False,True,378,146,524,0,0,0,875,20722,21597,119,161,106,24,31,24
inf,inf,True,True,378,146,524,0,0,0,876,21133,22009,0,161,106,0,55,24
