rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,True,True,7.558560,4.743811,2.291891,0.057328,0.001932,0.208305,0.254046,0.001191,-0.000026
0,0,False,True,4.724239,3.028634,1.269720,0.133556,0.000852,0.060277,0.230101,0.001052,-0.000021
1,1,False,True,4.704632,2.997415,1.234591,0.039105,0.000918,0.128474,0.292256,0.011812,-0.000034
1,1,True,True,7.389259,4.560303,2.298259,0.073911,0.001705,0.211440,0.226939,0.016637,-0.000039
2,2,True,True,7.127323,4.827053,1.688614,0.041094,0.001005,0.161599,0.378634,0.029240,-0.000058
2,2,False,True,4.799785,2.994170,1.220376,0.037866,0.000948,0.127759,0.393660,0.024933,-0.000045
3,3,False,True,4.896299,3.002547,1.228440,0.036371,0.000872,0.127411,0.464106,0.036473,-0.000052
3,3,True,True,7.936191,5.798400,1.630131,0.041385,0.001009,0.142270,0.280866,0.042033,-0.000067
4,4,False,True,4.924501,2.986129,1.217001,0.035081,0.000869,0.127852,0.515387,0.042088,-0.000067
4,4,True,True,5.835593,3.547257,1.721868,0.049540,0.000991,0.144912,0.322383,0.048535,-0.000080
5,5,False,True,4.941647,2.951721,1.220396,0.034812,0.000852,0.127841,0.554612,0.051304,-0.000079
5,5,True,True,5.688110,3.578978,1.483744,0.046718,0.001074,0.151833,0.358701,0.066951,-0.000081
6,6,False,True,5.275998,3.188775,1.270042,0.034041,0.000906,0.129060,0.596145,0.056916,-0.000083
6,6,True,True,5.171089,3.306141,1.289751,0.037453,0.000965,0.138420,0.340347,0.057912,-0.000073
7,7,False,True,5.462390,3.144379,1.286492,0.036761,0.000931,0.063865,0.862160,0.067690,-0.000085
7,7,True,True,5.228174,3.338822,1.322317,0.033460,0.000900,0.064332,0.404127,0.064114,-0.000075
8,8,True,True,4.811383,3.040963,1.189805,0.033131,0.000888,0.065092,0.412567,0.068830,-0.000080
8,8,False,True,5.227216,2.989251,1.223464,0.032298,0.000918,0.064363,0.848079,0.068738,-0.000078
9,9,True,True,4.826815,3.094054,1.207588,0.029247,0.000863,0.063273,0.353263,0.078405,-0.000095
9,9,False,True,5.114497,3.026587,1.242258,0.029686,0.000878,0.063238,0.675885,0.075824,-0.000110
10,10,True,True,4.909134,3.012114,1.292797,0.032239,0.000985,0.066725,0.416346,0.087805,-0.000096
10,10,False,True,5.233861,3.014775,1.301127,0.031829,0.000960,0.069147,0.729307,0.086581,-0.000107
inf,inf,False,True,5.388812,3.256462,1.280264,0.033934,0.000969,0.068355,0.628255,0.120396,-0.000148
inf,inf,True,True,8.771407,5.824689,2.195997,0.035592,0.000975,0.076481,0.502703,0.134780,-0.000160
