rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,4.084732,2.655720,1.140727,0.065002,0.000642,0.015154,0.206219,0.001208,-0.000021
1,1,False,True,4.054346,2.622357,1.125366,0.034384,0.000618,0.014681,0.242924,0.013937,-0.000041
2,2,False,True,4.150947,2.632648,1.109102,0.032569,0.000628,0.015167,0.331089,0.029642,-0.000065
3,3,False,True,4.211360,2.630131,1.101523,0.031618,0.000633,0.015571,0.388616,0.043149,-0.000084
4,4,False,True,4.262994,2.624529,1.105002,0.031161,0.000619,0.014854,0.432866,0.053830,-0.000098
5,5,False,True,4.416847,2.707818,1.109930,0.030922,0.000637,0.015918,0.487419,0.064058,-0.000109
6,6,False,True,4.382102,2.623879,1.104290,0.029726,0.000629,0.015920,0.534265,0.073229,-0.000128
7,7,False,True,4.407313,2.624482,1.098811,0.029282,0.000725,0.016416,0.555213,0.082209,-0.000140
8,8,False,True,4.448535,2.637242,1.116938,0.027361,0.000619,0.016076,0.563048,0.087071,-0.000143
9,9,False,True,4.438949,2.621683,1.092839,0.023967,0.000620,0.016192,0.589219,0.094237,-0.000157
10,10,False,True,4.458001,2.647111,1.107782,0.024691,0.000614,0.017074,0.560188,0.100337,-0.000167
inf,inf,False,True,4.447029,2.634689,1.023910,0.091604,0.000630,0.016711,0.520364,0.158833,-0.000252
