rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,4445,7157,2467,575,1892,2605,283742,0,281137,0,2605,171,0,0,0,0,0,686,0
1,1,False,True,4445,7105,2467,575,1892,2483,283742,108,281137,14,2483,171,52,20,0,32,20,686,0
2,2,False,True,4445,7067,2467,575,1892,2379,283742,187,281137,39,2379,171,67,31,0,36,29,686,0
3,3,False,True,4445,7046,2467,575,1892,2322,283742,244,281137,39,2322,171,83,48,0,35,46,686,0
4,4,False,True,4445,7034,2467,575,1892,2238,283742,327,281137,40,2238,171,108,69,0,39,67,686,0
5,5,False,True,4445,7022,2467,575,1892,2155,283742,407,281137,43,2155,171,138,92,0,46,88,686,0
6,6,False,True,4445,7016,2467,575,1892,2085,283742,477,281137,43,2085,171,147,104,0,43,100,686,0
7,7,False,True,4445,7013,2467,575,1892,2005,283742,557,281137,43,2005,171,160,112,0,48,106,686,0
8,8,False,True,4445,7005,2467,575,1892,1932,283742,629,281137,44,1932,171,167,117,1,49,110,686,0
9,9,False,True,4445,6991,2467,575,1892,1887,283742,671,281137,47,1887,171,167,117,2,48,108,686,0
10,10,False,True,4445,6979,2467,575,1892,1858,283742,696,281137,51,1858,171,167,117,2,48,107,686,0
inf,inf,False,True,4445,5122,2467,575,1892,0,283742,1585,281137,1020,0,171,167,117,24,26,107,686,0
