key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
num_read,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
num_writes,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
num_ops,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191
num_rw_time_edges,232,219,190,168,159,137,119,95,82,72,59,0,232,219,190,168,159,137,119,95,82,72,59,0
num_ww_time_edges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_time_edges,232,219,190,168,159,137,119,95,82,72,59,0,232,219,190,168,159,137,119,95,82,72,59,0
num_harmful,0,13,42,64,73,95,113,137,150,160,173,232,0,13,42,64,73,95,113,137,150,160,173,232
num_commute,2474,2474,2474,2474,2474,2474,2474,2474,2474,2474,2474,2474,2552,2552,2552,2552,2552,2552,2552,2552,2552,2552,2552,2552
num_races,2474,2487,2516,2538,2547,2569,2587,2611,2624,2634,2647,2706,2552,2565,2594,2616,2625,2647,2665,2689,2702,2712,2725,2784
num_covered,0,0,0,0,0,0,0,0,0,0,5,64,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_races,0,7,21,30,34,45,55,66,73,76,80,80,0,7,21,30,34,45,55,66,73,76,80,80
num_per_pkt_inconsistent,0,4,16,27,32,43,51,64,70,74,78,78,0,4,16,27,32,43,51,64,70,74,78,78
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,3,5,3,2,2,4,2,3,2,2,2,0,3,5,3,2,2,4,2,3,2,2,2
num_per_pkt_inconsistent_no_repeat,0,2,4,4,4,4,4,4,4,4,7,4,0,2,4,4,4,4,4,4,4,4,7,4
num_versions,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
