rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,744,1030,221,189,32,306,3186,0,2880,0,306,81,0,0,0,0,0,8,0
1,1,False,True,744,1023,221,189,32,287,3186,19,2880,0,287,81,7,4,0,3,2,8,0
2,2,False,True,744,1018,221,189,32,250,3186,56,2880,0,250,81,21,16,0,5,4,8,0
3,3,False,True,744,1016,221,189,32,224,3186,82,2880,0,224,81,30,27,0,3,4,8,0
4,4,False,True,744,1012,221,189,32,211,3186,95,2880,0,211,81,34,32,0,2,4,8,0
5,5,False,True,744,1012,221,189,32,185,3186,121,2880,0,185,81,45,43,0,2,4,8,0
6,6,False,True,744,1012,221,189,32,163,3186,143,2880,0,163,81,55,51,0,4,4,8,0
7,7,False,True,744,1008,221,189,32,135,3186,171,2880,0,135,81,66,64,0,2,4,8,0
8,8,False,True,744,1008,221,189,32,118,3186,188,2880,0,118,81,73,70,0,3,4,8,0
9,9,False,True,744,1005,221,189,32,104,3186,202,2880,0,104,81,76,74,0,2,4,8,0
10,10,False,True,744,996,221,189,32,87,3186,214,2880,5,87,81,80,78,0,2,7,8,0
inf,inf,False,True,744,909,221,189,32,0,3186,230,2880,76,0,81,80,78,0,2,4,8,0
