rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.880971,0.585303,0.155318,0.020608,0.000286,0.012854,0.106118,0.000413,-0.000010
0,0,True,True,0.868640,0.590626,0.154122,0.018136,0.000257,0.012241,0.092755,0.000432,-0.000010
1,1,False,True,0.864103,0.577311,0.149894,0.015083,0.000249,0.012409,0.107566,0.001518,-0.000012
1,1,True,True,0.852151,0.577753,0.149556,0.016344,0.000260,0.012071,0.094528,0.001571,-0.000011
2,2,False,True,0.886313,0.578872,0.150417,0.014231,0.000248,0.012366,0.126179,0.003923,-0.000016
2,2,True,True,0.888424,0.597383,0.150154,0.015746,0.000247,0.012937,0.108152,0.003734,-0.000017
3,3,False,True,0.922169,0.589729,0.152245,0.014879,0.000267,0.012270,0.147267,0.005421,-0.000020
3,3,True,True,0.887175,0.578231,0.147827,0.014919,0.000251,0.011717,0.128989,0.005154,-0.000034
4,4,False,True,0.944920,0.603992,0.155483,0.015706,0.000246,0.012478,0.151069,0.005851,-0.000022
4,4,True,True,0.890871,0.581180,0.148212,0.014085,0.000246,0.011945,0.129290,0.005832,-0.000020
5,5,False,True,0.947200,0.598314,0.146556,0.014051,0.000248,0.013206,0.167282,0.007458,-0.000023
5,5,True,True,0.915485,0.579891,0.148565,0.013859,0.000246,0.011944,0.153265,0.007631,-0.000023
6,6,False,True,0.944179,0.580972,0.147873,0.014234,0.000263,0.012400,0.179233,0.009116,-0.000025
6,6,True,True,0.924740,0.584849,0.148919,0.013724,0.000291,0.012377,0.155485,0.009002,-0.000027
7,7,False,True,0.962941,0.583839,0.145629,0.014521,0.000243,0.011925,0.193993,0.012709,-0.000032
7,7,True,True,0.942346,0.580296,0.149318,0.014540,0.000253,0.012209,0.174960,0.010680,-0.000029
8,8,False,True,0.988210,0.592335,0.148052,0.012922,0.000238,0.012190,0.209885,0.012486,-0.000041
8,8,True,True,0.953443,0.580362,0.156186,0.013356,0.000253,0.012081,0.179044,0.012062,-0.000040
9,9,False,True,0.992007,0.594337,0.147405,0.013804,0.000261,0.012599,0.210371,0.013136,-0.000033
9,9,True,True,0.948333,0.578145,0.148155,0.013002,0.000263,0.012297,0.183522,0.012856,-0.000033
10,10,False,True,1.004658,0.612122,0.148724,0.013156,0.000274,0.012141,0.204129,0.014015,-0.000035
10,10,True,True,0.935360,0.578286,0.148582,0.012650,0.000275,0.012458,0.168796,0.014215,-0.000036
inf,inf,False,True,0.961249,0.587790,0.146763,0.014215,0.000280,0.012648,0.182868,0.016578,-0.000042
inf,inf,True,True,0.932135,0.579547,0.148411,0.012568,0.000241,0.011876,0.161957,0.017434,-0.000043
