rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.821454,0.546444,0.142785,0.017624,0.000230,0.012221,0.101352,0.000746,-0.000012
1,1,False,True,0.818430,0.542329,0.140623,0.013701,0.000232,0.011949,0.108002,0.001547,-0.000014
2,2,False,True,0.845818,0.546396,0.141050,0.013380,0.000240,0.011691,0.128837,0.004168,-0.000023
3,3,False,True,0.850661,0.542250,0.138866,0.013244,0.000225,0.011732,0.138874,0.005405,-0.000027
4,4,False,True,0.852286,0.542663,0.139039,0.013015,0.000227,0.011951,0.139146,0.006174,-0.000033
5,5,False,True,0.881054,0.539827,0.136684,0.012715,0.000223,0.011890,0.171450,0.008188,-0.000039
6,6,False,True,0.884646,0.537777,0.136769,0.012647,0.000222,0.011753,0.175084,0.010310,-0.000044
7,7,False,True,0.915626,0.539029,0.135961,0.012077,0.000224,0.011880,0.204923,0.011446,-0.000046
8,8,False,True,0.909945,0.539181,0.135871,0.011875,0.000225,0.012643,0.196925,0.013140,-0.000050
9,9,False,True,0.943995,0.557778,0.138022,0.011949,0.000243,0.012074,0.209112,0.014727,-0.000053
10,10,False,True,0.904890,0.549350,0.135717,0.011459,0.000229,0.011901,0.180699,0.015441,-0.000056
inf,inf,False,True,0.901308,0.548442,0.134653,0.011468,0.000224,0.011288,0.176406,0.018717,-0.000071
