rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,424,521,90,74,16,120,1268,0,1148,0,120,74,0,0,0,0,0,9,0
1,1,False,True,424,519,90,74,16,110,1268,10,1148,0,110,74,10,0,0,10,0,9,0
2,2,False,True,424,519,90,74,16,101,1268,19,1148,0,101,74,17,0,0,17,0,9,0
3,3,False,True,424,517,90,74,16,88,1268,32,1148,0,88,74,28,0,0,28,0,9,0
4,4,False,True,424,517,90,74,16,83,1268,37,1148,0,83,74,33,0,0,33,0,9,0
5,5,False,True,424,517,90,74,16,76,1268,44,1148,0,76,74,40,0,0,40,0,9,0
6,6,False,True,424,517,90,74,16,66,1268,54,1148,0,66,74,50,0,0,50,0,9,0
7,7,False,True,424,517,90,74,16,55,1268,65,1148,0,55,74,61,0,0,61,0,9,0
8,8,False,True,424,517,90,74,16,47,1268,73,1148,0,47,74,69,0,0,69,0,9,0
9,9,False,True,424,513,90,74,16,38,1268,80,1148,2,38,74,74,0,2,72,0,9,0
10,10,False,True,424,508,90,74,16,33,1268,80,1148,7,33,74,74,0,7,67,0,9,0
inf,inf,False,True,424,475,90,74,16,0,1268,80,1148,40,0,74,74,0,40,34,0,9,0
