rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.629021,0.407558,0.084819,0.016508,0.000061,0.079073,0.040510,0.000449,-0.000008
0,0,True,True,0.623983,0.392107,0.090823,0.020335,0.000070,0.085099,0.035041,0.000460,-0.000009
1,1,False,True,0.596818,0.364964,0.086456,0.014044,0.000063,0.080359,0.049497,0.001386,-0.000012
1,1,True,True,0.596494,0.367792,0.086005,0.013768,0.000063,0.083517,0.044002,0.001298,-0.000011
2,2,True,True,0.593228,0.369319,0.087393,0.013326,0.000066,0.078269,0.042689,0.002117,-0.000012
2,2,False,True,0.599712,0.368834,0.085701,0.013107,0.000062,0.078913,0.050963,0.002084,-0.000011
3,3,False,True,0.626966,0.385337,0.085523,0.012989,0.000069,0.081309,0.058575,0.003099,-0.000015
3,3,True,True,0.611435,0.371919,0.085851,0.013669,0.000062,0.087078,0.049697,0.003109,-0.000014
4,4,True,True,0.612443,0.367441,0.087766,0.013543,0.000072,0.084108,0.054305,0.005155,-0.000015
4,4,False,True,0.621251,0.369017,0.088150,0.013815,0.000067,0.080839,0.065326,0.003985,-0.000015
5,5,False,True,0.627366,0.367575,0.087792,0.014509,0.000071,0.086420,0.066511,0.004438,-0.000016
5,5,True,True,0.621670,0.378575,0.089430,0.012519,0.000066,0.081281,0.055011,0.004731,-0.000018
6,6,False,True,0.627290,0.367056,0.085807,0.012558,0.000065,0.084316,0.072146,0.005291,-0.000018
6,6,True,True,0.619300,0.369000,0.087998,0.012487,0.000070,0.083167,0.060943,0.005580,-0.000018
7,7,False,True,0.618440,0.363043,0.083660,0.012092,0.000096,0.080844,0.071672,0.006981,-0.000020
7,7,True,True,0.591476,0.351364,0.081655,0.011569,0.000060,0.078509,0.062066,0.006200,-0.000020
8,8,True,True,0.615314,0.361598,0.083194,0.012375,0.000065,0.084823,0.066630,0.006573,-0.000021
8,8,False,True,0.615896,0.360210,0.085471,0.012294,0.000071,0.082275,0.068991,0.006529,-0.000021
9,9,False,True,0.638666,0.375717,0.085803,0.012757,0.000066,0.084841,0.071381,0.008036,-0.000024
9,9,True,True,0.624753,0.372562,0.087033,0.014657,0.000073,0.083055,0.059812,0.007505,-0.000021
10,10,True,True,0.746051,0.487727,0.089167,0.011212,0.000065,0.084796,0.065415,0.007611,-0.000023
10,10,False,True,0.669478,0.408113,0.090419,0.012264,0.000088,0.082296,0.068594,0.007648,-0.000024
inf,inf,False,True,0.609680,0.349668,0.082303,0.011888,0.000069,0.081642,0.075109,0.008934,-0.000029
inf,inf,True,True,0.750796,0.473050,0.094708,0.013215,0.000071,0.086393,0.071782,0.011510,-0.000028
