rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.353173,0.235136,0.063528,0.011540,0.000036,0.011033,0.031522,0.000340,-0.000007
1,1,False,True,0.353635,0.232038,0.063909,0.008847,0.000039,0.012650,0.034937,0.001174,-0.000010
2,2,False,True,0.359583,0.233903,0.062626,0.008484,0.000035,0.012267,0.040133,0.002091,-0.000013
3,3,False,True,0.372032,0.241819,0.062586,0.009188,0.000076,0.014601,0.040917,0.002799,-0.000016
4,4,False,True,0.375106,0.239695,0.062693,0.008061,0.000035,0.011214,0.049686,0.003672,-0.000018
5,5,False,True,0.375602,0.240165,0.062842,0.008046,0.000035,0.010744,0.049930,0.003790,-0.000019
6,6,False,True,0.381663,0.239813,0.066319,0.008102,0.000037,0.011291,0.051547,0.004498,-0.000021
7,7,False,True,0.379977,0.235845,0.062718,0.007547,0.000036,0.010794,0.057135,0.005842,-0.000025
8,8,False,True,0.382705,0.241572,0.062527,0.007383,0.000034,0.011152,0.053265,0.006711,-0.000027
9,9,False,True,0.377450,0.235208,0.062147,0.007470,0.000036,0.011170,0.054316,0.007041,-0.000029
10,10,False,True,0.377973,0.236341,0.061154,0.007420,0.000035,0.010734,0.054946,0.007278,-0.000033
inf,inf,False,True,0.387782,0.240434,0.062117,0.007491,0.000035,0.010660,0.057846,0.009129,-0.000038
