key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
num_edges,3227,3223,3221,3180,3135,3084,3028,2988,2920,2861,2816,2542
num_ops,693,693,693,693,693,693,693,693,693,693,693,693
num_read,660,660,660,660,660,660,660,660,660,660,660,660
num_writes,33,33,33,33,33,33,33,33,33,33,33,33
num_time_edges,1345,1337,1326,1235,1145,1051,941,858,722,612,518,0
num_races,5356,5356,5356,5356,5356,5356,5356,5356,5356,5356,5356,5356
num_harmful,0,8,19,73,118,167,222,266,338,390,439,685
num_commute,4011,4011,4011,4011,4011,4011,4011,4011,4011,4011,4011,4011
num_covered,0,0,0,37,82,127,182,221,285,343,388,660
num_time_filtered_races,1345,1337,1326,1235,1145,1051,941,858,722,612,518,0
num_pkts,313,313,313,313,313,313,313,313,313,313,313,313
num_per_pkt_races,0,8,19,49,71,105,125,144,174,192,211,311
num_per_pkt_inconsistent,0,0,0,13,23,31,45,57,75,86,100,171
num_per_pkt_inconsistent_covered,0,0,0,6,17,39,50,58,74,82,90,140
num_per_pkt_entry_version_race,0,8,19,30,31,35,30,29,25,24,21,0
num_per_pkt_inconsistent_no_repeat,0,0,0,9,11,12,19,18,21,16,16,19
num_versions,1,1,1,1,1,1,1,1,1,1,1,1
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
