rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,2016,3227,693,660,33,1345,5356,0,4011,0,1345,313,0,0,0,0,0,1,0
1,1,False,True,2016,3223,693,660,33,1337,5356,8,4011,0,1337,313,8,0,0,8,0,1,0
2,2,False,True,2016,3221,693,660,33,1326,5356,19,4011,0,1326,313,19,0,0,19,0,1,0
3,3,False,True,2016,3180,693,660,33,1235,5356,73,4011,37,1235,313,49,13,6,30,9,1,0
4,4,False,True,2016,3135,693,660,33,1145,5356,118,4011,82,1145,313,71,23,17,31,11,1,0
5,5,False,True,2016,3084,693,660,33,1051,5356,167,4011,127,1051,313,105,31,39,35,12,1,0
6,6,False,True,2016,3028,693,660,33,941,5356,222,4011,182,941,313,125,45,50,30,19,1,0
7,7,False,True,2016,2988,693,660,33,858,5356,266,4011,221,858,313,144,57,58,29,18,1,0
8,8,False,True,2016,2920,693,660,33,722,5356,338,4011,285,722,313,174,75,74,25,21,1,0
9,9,False,True,2016,2861,693,660,33,612,5356,390,4011,343,612,313,192,86,82,24,16,1,0
10,10,False,True,2016,2816,693,660,33,518,5356,439,4011,388,518,313,211,100,90,21,16,1,0
inf,inf,False,True,2016,2542,693,660,33,0,5356,685,4011,660,0,313,311,171,140,0,19,1,0
