key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
num_read,1489,1489,1489,1489,1489,1489,1489,1489,1489,1489,1489,1489,1489,1489,1489,1489,1489,1489,1489,1489,1489,1489,1489,1489
num_writes,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
num_ops,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523
num_rw_time_edges,0,2214,2342,2460,2563,2693,2819,2920,2996,2077,3004,3015,0,2214,2342,2460,2563,2693,2819,2920,2996,2077,3004,3015
num_ww_time_edges,0,5,5,5,5,5,5,5,5,5,5,27,0,2,2,2,2,2,2,2,2,2,2,2
num_time_edges,0,2219,2347,2465,2568,2698,2824,2925,3001,2082,3009,3042,0,2216,2344,2462,2565,2695,2821,2922,2998,2079,3006,3017
num_harmful,3042,823,695,577,474,344,218,117,41,960,33,0,3017,801,673,555,452,322,196,95,19,938,11,0
num_commute,9324,9324,9324,9324,9324,9324,9324,9324,9324,9324,9324,9324,9324,9324,9324,9324,9324,9324,9324,9324,9324,9324,9324,9324
num_races,12366,10147,10019,9901,9798,9668,9542,9441,9365,10284,9357,9324,12341,10125,9997,9879,9776,9646,9520,9419,9343,10262,9335,9324
num_covered,47,14,10,10,10,6,5,2,0,17,0,0,1489,361,300,247,197,135,80,31,0,426,0,0
num_per_pkt_races,726,218,198,167,140,109,70,42,19,246,11,0,726,218,198,167,140,109,70,42,19,246,11,0
num_per_pkt_inconsistent,726,185,158,130,103,72,41,13,0,211,0,0,366,99,79,65,54,42,24,11,0,115,0,0
num_per_pkt_inconsistent_covered,0,29,33,33,34,34,27,27,17,30,10,0,360,115,112,98,83,64,44,29,17,126,10,0
num_per_pkt_race_version,0,4,7,4,3,3,2,2,2,5,1,0,0,4,7,4,3,3,2,2,2,5,1,0
num_per_pkt_inconsistent_no_repeat,26,28,25,26,27,24,20,12,0,25,0,0,19,22,19,20,21,19,16,10,0,19,0,0
