rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,13.407290,6.239308,1.135337,0.621625,0.000035,0.092025,5.313390,0.005523,-0.000009
0,0,True,True,14.686742,6.644008,1.170517,0.721569,0.000035,0.092128,6.053815,0.004624,-0.000009
1,1,False,True,14.081185,6.372677,1.129950,0.591814,0.000035,0.091560,5.882870,0.012232,-0.000012
1,1,True,True,15.162074,6.534311,1.121150,0.599402,0.000035,0.104144,6.784899,0.018017,-0.000079
2,2,True,True,15.292524,6.525020,1.189056,0.561286,0.000033,0.093353,6.902806,0.020861,-0.000071
2,2,False,True,14.117892,6.348010,1.143026,0.565167,0.000034,0.091252,5.953564,0.016788,-0.000015
3,3,False,True,14.467943,6.495399,1.102386,0.510571,0.000037,0.099452,6.202572,0.057462,-0.000025
3,3,True,True,17.317862,6.352896,1.142825,0.529866,0.000035,0.097552,9.130294,0.064264,-0.000091
4,4,True,True,22.875957,7.092238,1.409454,0.240601,0.000035,0.371619,13.641810,0.120006,0.000000
4,4,False,True,14.934116,6.769789,1.098322,0.229837,0.000033,0.374181,6.349099,0.112779,-0.000041
5,5,False,True,15.735430,6.483651,1.244190,0.236721,0.000729,0.337746,7.238594,0.193706,-0.000059
5,5,True,True,29.895642,6.687411,1.094228,0.220744,0.000036,0.362414,21.333972,0.196682,-0.000117
6,6,False,True,15.780614,6.370656,1.081319,0.191256,0.000000,0.099423,7.774295,0.263555,-0.000075
6,6,True,True,34.008406,6.335243,1.103878,0.183840,0.000034,0.094170,26.003091,0.287984,-0.000126
7,7,False,True,15.482553,6.541617,1.060724,0.173338,0.000000,0.089236,7.259002,0.358487,-0.000097
7,7,True,True,34.348932,8.560906,1.094094,0.175552,0.000000,0.093211,24.066936,0.358041,-0.000154
8,8,True,True,33.192781,6.301436,1.063679,0.157823,0.000040,0.089208,25.116330,0.464043,-0.000174
8,8,False,True,15.898712,6.440295,1.040054,0.155400,0.000038,0.090053,7.498767,0.673958,-0.000110
9,9,False,True,15.782498,6.504687,1.073999,0.164853,0.000035,0.098520,7.402597,0.537789,0.000000
9,9,True,True,36.336028,6.211543,1.048703,0.157446,0.000035,0.093834,28.279352,0.544856,-0.000200
10,10,True,True,39.008372,6.352049,1.061205,0.159144,0.000036,0.104639,30.704187,0.626846,-0.000207
10,10,False,True,15.531866,6.227020,1.060383,0.166379,0.000342,0.105659,7.331616,0.640279,-0.000151
inf,inf,False,True,22.420459,6.691212,0.993493,0.165985,0.000034,0.098698,12.242947,2.227595,-0.000458
inf,inf,True,True,28.279142,6.484336,1.036581,0.161369,0.000038,0.101245,18.248976,2.246045,-0.000518
