key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
num_read,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619
num_writes,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
num_ops,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652
num_rw_time_edges,1258,1254,1247,1165,1038,940,838,731,639,511,402,0,1258,1254,1247,1165,1038,940,838,731,639,511,402,0
num_ww_time_edges,1,1,1,1,1,1,1,1,1,1,1,0,26,4,4,4,4,4,4,4,4,4,4,0
num_time_edges,1259,1255,1248,1166,1039,941,839,732,640,512,403,0,1284,1258,1251,1169,1042,944,842,735,643,515,406,0
num_harmful,0,4,11,93,220,318,420,527,619,747,856,1259,0,26,33,115,242,340,442,549,641,769,878,1284
num_commute,3838,3838,3838,3838,3838,3838,3838,3838,3838,3838,3838,3838,3845,3845,3845,3845,3845,3845,3845,3845,3845,3845,3845,3845
num_races,3838,3842,3849,3931,4058,4156,4258,4365,4457,4585,4694,5097,3845,3871,3878,3960,4087,4185,4287,4394,4486,4614,4723,5129
num_covered,0,0,0,32,93,145,193,244,291,354,408,622,0,0,0,1,8,12,14,14,20,22,26,35
num_per_pkt_races,0,4,11,45,82,102,130,150,169,200,219,311,0,4,11,45,82,102,130,150,169,200,219,311
num_per_pkt_inconsistent,0,0,0,9,20,33,44,61,67,84,99,147,0,0,0,25,52,77,104,130,149,184,208,311
num_per_pkt_inconsistent_covered,0,0,0,16,32,44,60,69,82,100,109,164,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,4,11,20,30,25,26,20,20,16,11,0,0,4,11,20,30,25,26,20,20,16,11,0
num_per_pkt_inconsistent_no_repeat,0,0,0,9,12,15,17,17,15,18,20,18,0,0,0,16,18,21,23,23,21,24,26,26
