rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,1940,3072,652,619,33,1259,5097,0,3838,0,1259,314,0,0,0,0,0,1,0
1,1,False,True,1940,3069,652,619,33,1255,5097,4,3838,0,1255,314,4,0,0,4,0,1,0
2,2,False,True,1940,3065,652,619,33,1248,5097,11,3838,0,1248,314,11,0,0,11,0,1,0
3,3,False,True,1940,3032,652,619,33,1166,5097,61,3838,32,1166,314,45,9,16,20,9,1,0
4,4,False,True,1940,2966,652,619,33,1039,5097,127,3838,93,1039,314,82,20,32,30,12,1,0
5,5,False,True,1940,2914,652,619,33,941,5097,173,3838,145,941,314,102,33,44,25,15,1,0
6,6,False,True,1940,2862,652,619,33,839,5097,227,3838,193,839,314,130,44,60,26,17,1,0
7,7,False,True,1940,2810,652,619,33,732,5097,283,3838,244,732,314,150,61,69,20,17,1,0
8,8,False,True,1940,2761,652,619,33,640,5097,328,3838,291,640,314,169,67,82,20,15,1,0
9,9,False,True,1940,2698,652,619,33,512,5097,393,3838,354,512,314,200,84,100,16,18,1,0
10,10,False,True,1940,2644,652,619,33,403,5097,448,3838,408,403,314,219,99,109,11,20,1,0
inf,inf,False,True,1940,2432,652,619,33,0,5097,637,3838,622,0,314,311,147,164,0,18,1,0
