rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,4.071436,2.469092,0.546343,0.101344,0.000038,0.086623,0.865775,0.002221,0.000000
0,0,True,True,4.237545,2.491868,0.554793,0.097859,0.000040,0.089203,1.002024,0.001713,-0.000010
1,1,False,True,4.258547,2.548995,0.544208,0.083118,0.000000,0.082451,0.992855,0.006839,0.000000
1,1,True,True,4.492388,2.635711,0.556823,0.092519,0.000041,0.083144,1.118874,0.005179,-0.000062
2,2,True,True,5.016304,2.710690,0.629808,0.076687,0.000038,0.083586,1.507754,0.007641,-0.000064
2,2,False,True,5.712388,3.310215,0.520394,0.071606,0.000000,0.085733,1.714266,0.010101,-0.000019
3,3,False,True,5.189794,3.288700,0.588122,0.099528,0.000050,0.111446,1.073561,0.028324,-0.000024
3,3,True,True,4.764314,2.446488,0.510032,0.064669,0.000045,0.085017,1.632115,0.025828,-0.000083
4,4,True,True,6.637849,2.503222,0.513442,0.064598,0.000041,0.082541,3.415518,0.058347,-0.000100
4,4,False,True,4.497105,2.545301,0.562940,0.067690,0.000000,0.084559,1.180403,0.056126,-0.000047
5,5,False,True,4.898495,2.794960,0.599780,0.065041,0.000037,0.088311,1.272285,0.078056,0.000000
5,5,True,True,6.880635,2.565213,0.542472,0.065266,0.000039,0.087579,3.537918,0.081998,-0.000113
6,6,False,True,4.582115,2.473874,0.508305,0.063695,0.000000,0.084065,1.340459,0.111608,-0.000073
6,6,True,True,7.173332,2.482099,0.513900,0.063380,0.000000,0.084010,3.921101,0.108677,-0.000126
7,7,False,True,5.611056,3.328691,0.593035,0.063959,0.000036,0.082287,1.401013,0.141912,-0.000087
7,7,True,True,7.841251,2.580143,0.539320,0.065652,0.000000,0.084241,4.418462,0.153297,-0.000099
8,8,True,True,8.001227,2.500688,0.501826,0.062719,0.000039,0.083115,4.671072,0.181516,-0.000174
8,8,False,True,4.980990,2.530680,0.517390,0.064693,0.000037,0.084594,1.591901,0.191557,-0.000100
9,9,False,True,5.223279,2.558053,0.516985,0.067268,0.000039,0.088862,1.763573,0.228338,-0.000120
9,9,True,True,8.442003,2.520640,0.509933,0.067053,0.000039,0.095562,5.009160,0.239406,-0.000171
10,10,True,True,8.422682,2.470404,0.512513,0.064257,0.000039,0.084945,5.030997,0.259298,-0.000190
10,10,False,True,5.213382,2.570995,0.513494,0.063849,0.000036,0.083090,1.727198,0.254545,-0.000135
inf,inf,False,True,5.511871,2.470683,0.475998,0.061998,0.000036,0.082625,2.039342,0.380951,-0.000196
inf,inf,True,True,6.721569,2.473100,0.487759,0.067787,0.000037,0.083436,3.215098,0.394061,-0.000252
