key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657
num_edges,7408,7401,7398,7357,7311,7266,7215,7154,7094,7034,6979,5836
num_ops,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563
num_read,1529,1529,1529,1529,1529,1529,1529,1529,1529,1529,1529,1529
num_writes,34,34,34,34,34,34,34,34,34,34,34,34
num_time_edges,3101,3091,3078,2993,2896,2807,2702,2578,2453,2329,2220,0
num_races,12701,12701,12701,12701,12701,12701,12701,12701,12701,12701,12701,12701
num_harmful,0,10,23,70,125,174,231,296,363,430,488,1552
num_commute,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
num_covered,0,0,0,38,80,120,168,227,285,342,393,1549
num_time_filtered_races,3101,3091,3078,2993,2896,2807,2702,2578,2453,2329,2220,0
num_pkts,759,759,759,759,759,759,759,759,759,759,759,759
num_per_pkt_races,0,10,23,52,89,118,151,174,204,244,267,755
num_per_pkt_inconsistent,0,1,2,14,23,34,45,61,75,86,104,369
num_per_pkt_inconsistent_covered,0,0,0,12,29,41,59,68,83,110,124,386
num_per_pkt_entry_version_race,0,9,21,26,37,43,47,45,46,48,39,0
num_per_pkt_inconsistent_no_repeat,0,1,1,8,13,15,18,20,21,17,19,18
num_versions,2,2,2,2,2,2,2,2,2,2,2,2
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,1
