key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110
num_edges,3366,3363,3360,3313,3256,3183,3119,3066,3005,2948,2895,2655
num_ops,723,723,723,723,723,723,723,723,723,723,723,723
num_read,691,691,691,691,691,691,691,691,691,691,691,691
num_writes,32,32,32,32,32,32,32,32,32,32,32,32
num_time_edges,1402,1397,1390,1292,1176,1035,910,797,687,568,464,0
num_races,5311,5311,5311,5311,5311,5311,5311,5311,5311,5311,5311,5311
num_harmful,0,5,12,65,127,197,262,323,373,435,486,711
num_commute,3909,3909,3909,3909,3909,3909,3909,3909,3909,3909,3909,3909
num_covered,0,0,0,45,99,170,230,282,342,399,452,691
num_time_filtered_races,1402,1397,1390,1292,1176,1035,910,797,687,568,464,0
num_pkts,331,331,331,331,331,331,331,331,331,331,331,331
num_per_pkt_races,0,5,12,42,77,104,130,156,181,205,225,326
num_per_pkt_inconsistent,0,0,0,11,28,45,61,76,86,105,118,173
num_per_pkt_inconsistent_covered,0,0,0,15,32,40,51,62,78,90,100,153
num_per_pkt_entry_version_race,0,5,12,16,17,19,18,18,17,10,7,0
num_per_pkt_inconsistent_no_repeat,0,0,0,9,15,18,18,18,14,19,18,15
num_versions,1,1,1,1,1,1,1,1,1,1,1,1
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
