rw_delta,ww_delta,alt_barr,data_deps,num_read,num_writes,num_ops,num_rw_time_edges,num_ww_time_edges,num_time_edges,num_harmful,num_commute,num_races,num_covered,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat
0,0,True,True,691,32,723,1401,24,1425,0,3909,3909,0,0,0,0,0,0
0,0,False,True,691,32,723,1401,1,1402,0,3909,3909,0,0,0,0,0,0
1,1,True,True,691,32,723,1396,2,1398,27,3909,3936,0,5,0,0,5,0
1,1,False,True,691,32,723,1396,1,1397,5,3909,3914,0,5,0,0,5,0
2,2,False,True,691,32,723,1389,1,1390,12,3909,3921,0,12,0,0,12,0
2,2,True,True,691,32,723,1389,2,1391,34,3909,3943,0,12,0,0,12,0
3,3,False,True,691,32,723,1291,1,1292,110,3909,4019,45,42,11,15,16,9
3,3,True,True,691,32,723,1291,2,1293,132,3909,4041,3,42,11,0,31,9
4,4,True,True,691,32,723,1175,2,1177,248,3909,4157,5,77,28,0,49,15
4,4,False,True,691,32,723,1175,1,1176,226,3909,4135,99,77,28,32,17,15
5,5,False,True,691,32,723,1034,1,1035,367,3909,4276,170,104,45,40,19,18
5,5,True,True,691,32,723,1034,2,1036,389,3909,4298,8,104,45,0,59,18
6,6,False,True,691,32,723,909,1,910,492,3909,4401,230,130,61,51,18,18
6,6,True,True,691,32,723,909,2,911,514,3909,4423,11,130,61,0,69,18
7,7,True,True,691,32,723,796,2,798,627,3909,4536,14,156,76,0,80,18
7,7,False,True,691,32,723,796,1,797,605,3909,4514,282,156,76,62,18,18
8,8,True,True,691,32,723,686,2,688,737,3909,4646,15,181,86,0,95,14
8,8,False,True,691,32,723,686,1,687,715,3909,4624,342,181,86,78,17,14
9,9,False,True,691,32,723,567,1,568,834,3909,4743,399,205,105,90,10,19
9,9,True,True,691,32,723,567,2,569,856,3909,4765,15,205,105,0,100,19
10,10,False,True,691,32,723,463,1,464,938,3909,4847,452,225,118,100,7,18
10,10,True,True,691,32,723,463,2,465,960,3909,4869,16,225,118,0,107,18
inf,inf,False,True,691,32,723,0,0,0,1402,3909,5311,691,326,173,153,0,15
inf,inf,True,True,691,32,723,0,0,0,1425,3909,5334,27,326,173,0,153,15
