rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,4.703426,2.925809,0.481204,0.096732,0.000035,0.086196,1.111833,0.001569,-0.000008
0,0,True,True,4.609431,2.822616,0.471948,0.088004,0.000034,0.082279,1.142683,0.001825,-0.000009
1,1,False,True,4.566689,2.832327,0.467847,0.091062,0.000036,0.087862,1.083203,0.004291,-0.000016
1,1,True,True,4.832822,2.852945,0.461129,0.083408,0.000034,0.087296,1.341835,0.006119,-0.000028
2,2,True,True,4.994679,2.944271,0.465682,0.075149,0.000033,0.088236,1.413442,0.007772,-0.000061
2,2,False,True,4.597970,2.839134,0.466845,0.074739,0.000059,0.095629,1.114998,0.006506,-0.000016
3,3,False,True,4.664733,2.819674,0.448096,0.072738,0.000034,0.085258,1.208866,0.030067,0.000000
3,3,True,True,5.582431,2.861753,0.457678,0.067943,0.000033,0.084633,2.069535,0.040727,-0.000090
4,4,True,True,6.614661,2.816945,0.456497,0.067868,0.000035,0.085727,3.127300,0.060154,-0.000100
4,4,False,True,4.962437,2.917919,0.456444,0.073637,0.000037,0.093222,1.356703,0.064393,-0.000043
5,5,False,True,5.087379,2.860854,0.462459,0.076569,0.000035,0.091089,1.490403,0.105868,-0.000064
5,5,True,True,7.735496,2.829983,0.446437,0.072362,0.000038,0.087074,4.197304,0.102108,-0.000190
6,6,False,True,5.306179,2.843938,0.452821,0.071371,0.000034,0.087917,1.710089,0.140009,0.000000
6,6,True,True,8.613184,2.844158,0.452854,0.070569,0.000035,0.087942,5.014919,0.142538,-0.000129
7,7,False,True,5.437101,2.968564,0.467699,0.069764,0.000032,0.088038,1.677433,0.165437,-0.000098
7,7,True,True,8.845289,2.794376,0.434001,0.065674,0.000039,0.082605,5.291452,0.176949,-0.000154
8,8,True,True,9.248048,2.736420,0.421834,0.065280,0.000035,0.083128,5.730000,0.211146,-0.000168
8,8,False,True,5.383599,2.803031,0.437942,0.071499,0.000036,0.083708,1.766720,0.220511,-0.000116
9,9,False,True,5.578748,2.865759,0.432066,0.070081,0.000034,0.079869,1.867235,0.263521,-0.000147
9,9,True,True,9.440975,2.750938,0.438411,0.069716,0.000040,0.084423,5.839962,0.257264,-0.000186
10,10,True,True,10.046236,2.839400,0.555336,0.082733,0.000039,0.087465,6.153619,0.327286,-0.000314
10,10,False,True,5.758514,2.818360,0.443637,0.071113,0.000034,0.086244,2.033010,0.305931,-0.000145
inf,inf,False,True,6.527373,2.910451,0.412244,0.068751,0.000032,0.086568,2.472727,0.576600,0.000000
inf,inf,True,True,7.713950,2.871498,0.449846,0.072592,0.000034,0.092948,3.770252,0.456475,-0.000267
