key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
num_read,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649,1649
num_writes,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
num_ops,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683
num_rw_time_edges,0,2474,2609,2744,2878,2997,3132,3277,3366,2367,3374,3381,0,2474,2609,2744,2878,2997,3132,3277,3366,2367,3374,3381
num_ww_time_edges,0,5,5,5,5,5,5,5,5,5,5,30,0,2,2,2,2,2,2,2,2,2,2,2
num_time_edges,0,2479,2614,2749,2883,3002,3137,3282,3371,2372,3379,3411,0,2476,2611,2746,2880,2999,3134,3279,3368,2369,3376,3383
num_harmful,3411,932,797,662,528,409,274,129,40,1039,32,0,3383,907,772,637,503,384,249,104,15,1014,7,0
num_commute,9945,9945,9945,9945,9945,9945,9945,9945,9945,9945,9945,9945,9945,9945,9945,9945,9945,9945,9945,9945,9945,9945,9945,9945
num_races,13356,10877,10742,10607,10473,10354,10219,10074,9985,10984,9977,9945,13328,10852,10717,10582,10448,10329,10194,10049,9960,10959,9952,9945
num_covered,0,0,0,0,0,0,0,0,0,0,0,0,1649,415,349,286,223,167,101,34,0,467,0,0
num_per_pkt_races,751,226,199,170,142,117,80,43,15,254,7,0,751,226,199,170,142,117,80,43,15,254,7,0
num_per_pkt_inconsistent,751,188,162,134,104,77,48,20,0,209,0,0,418,121,104,84,66,50,35,14,0,134,0,0
num_per_pkt_inconsistent_covered,0,38,37,36,38,40,32,23,15,45,7,0,333,105,95,86,76,67,45,29,15,120,7,0
num_per_pkt_race_version,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_inconsistent_no_repeat,26,26,28,28,25,21,23,15,0,24,0,0,18,20,22,22,19,15,17,10,0,18,0,0
