rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,4869,7891,1683,1649,34,3383,13328,0,9945,0,3383,754,0,0,0,0,0,4,0
1,1,False,True,4869,7888,1683,1649,34,3376,13328,7,9945,0,3376,754,7,0,0,7,0,4,0
2,2,False,True,4869,7886,1683,1649,34,3368,13328,15,9945,0,3368,754,15,0,0,15,0,4,0
3,3,False,True,4869,7848,1683,1649,34,3279,13328,70,9945,34,3279,754,43,14,6,23,10,4,0
4,4,False,True,4869,7775,1683,1649,34,3134,13328,148,9945,101,3134,754,80,35,13,32,17,4,0
5,5,False,True,4869,7704,1683,1649,34,2999,13328,217,9945,167,2999,754,117,50,27,40,15,4,0
6,6,False,True,4869,7644,1683,1649,34,2880,13328,280,9945,223,2880,754,142,66,38,38,19,4,0
7,7,False,True,4869,7577,1683,1649,34,2746,13328,351,9945,286,2746,754,170,84,50,36,22,4,0
8,8,False,True,4869,7509,1683,1649,34,2611,13328,423,9945,349,2611,754,199,104,58,37,22,4,0
9,9,False,True,4869,7441,1683,1649,34,2476,13328,492,9945,415,2476,754,226,121,67,38,20,4,0
10,10,False,True,4869,7385,1683,1649,34,2369,13328,547,9945,467,2369,754,254,134,75,45,18,4,0
inf,inf,False,True,4869,6157,1683,1649,34,0,13328,1734,9945,1649,0,754,751,418,333,0,18,4,2
