key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,5063,5063,5063,5063,5063,5063,5063,5063,5063,5063,5063,5063
num_edges,8162,8153,8149,8116,8067,8013,7937,7867,7795,7722,7664,6403
num_ops,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738
num_read,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704
num_writes,34,34,34,34,34,34,34,34,34,34,34,34
num_time_edges,3463,3451,3442,3365,3264,3155,2995,2850,2711,2556,2435,0
num_races,13862,13862,13862,13862,13862,13862,13862,13862,13862,13862,13862,13862
num_harmful,0,11,20,66,120,179,264,340,407,489,552,1715
num_commute,10399,10399,10399,10399,10399,10399,10399,10399,10399,10399,10399,10399
num_covered,0,1,1,32,79,129,204,273,345,418,476,1748
num_time_filtered_races,3463,3451,3442,3365,3264,3155,2995,2850,2711,2556,2435,0
num_pkts,789,789,789,789,789,789,789,789,789,789,789,789
num_per_pkt_races,0,11,20,51,83,117,157,194,230,264,293,785
num_per_pkt_inconsistent,0,0,0,8,18,31,53,69,84,104,118,422
num_per_pkt_inconsistent_covered,0,1,1,11,27,43,59,76,95,106,121,363
num_per_pkt_entry_version_race,0,10,19,32,38,43,45,49,51,54,54,0
num_per_pkt_inconsistent_no_repeat,0,0,0,7,11,13,19,20,16,17,19,18
num_versions,2,2,2,2,2,2,2,2,2,2,2,2
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,1
