rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,5063,8162,1738,1704,34,3463,13862,0,10399,0,3463,789,0,0,0,0,0,2,0
1,1,False,True,5063,8153,1738,1704,34,3451,13862,11,10399,1,3451,789,11,0,1,10,0,2,0
2,2,False,True,5063,8149,1738,1704,34,3442,13862,20,10399,1,3442,789,20,0,1,19,0,2,0
3,3,False,True,5063,8116,1738,1704,34,3365,13862,66,10399,32,3365,789,51,8,11,32,7,2,0
4,4,False,True,5063,8067,1738,1704,34,3264,13862,120,10399,79,3264,789,83,18,27,38,11,2,0
5,5,False,True,5063,8013,1738,1704,34,3155,13862,179,10399,129,3155,789,117,31,43,43,13,2,0
6,6,False,True,5063,7937,1738,1704,34,2995,13862,264,10399,204,2995,789,157,53,59,45,19,2,0
7,7,False,True,5063,7867,1738,1704,34,2850,13862,340,10399,273,2850,789,194,69,76,49,20,2,0
8,8,False,True,5063,7795,1738,1704,34,2711,13862,407,10399,345,2711,789,230,84,95,51,16,2,0
9,9,False,True,5063,7722,1738,1704,34,2556,13862,489,10399,418,2556,789,264,104,106,54,17,2,0
10,10,False,True,5063,7664,1738,1704,34,2435,13862,552,10399,476,2435,789,293,118,121,54,19,2,0
inf,inf,False,True,5063,6403,1738,1704,34,0,13862,1715,10399,1748,0,789,785,422,363,0,18,2,1
