rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,16.700272,6.873096,1.301749,1.108161,0.000093,0.092057,7.320631,0.004439,-0.000010
0,0,True,True,17.104463,7.138261,1.333955,1.194325,0.000047,0.109179,7.324132,0.004520,-0.000009
1,1,False,True,18.666713,7.338484,1.354366,0.704706,0.000045,0.398264,8.858596,0.012252,0.000000
1,1,True,True,18.261488,6.922201,1.308005,0.656257,0.000000,0.393991,8.961120,0.019794,-0.000083
2,2,True,True,18.048387,7.042269,1.315763,0.676725,0.000058,0.404051,8.582519,0.026888,-0.000081
2,2,False,True,17.308257,6.857503,1.245035,0.655899,0.000042,0.386742,8.143352,0.019634,-0.000014
3,3,False,True,17.665413,6.935339,1.259596,0.566562,0.000042,0.081266,8.754469,0.068078,-0.000027
3,3,True,True,19.813664,7.292748,1.263497,0.571283,0.000046,0.097783,10.518185,0.069993,-0.000094
4,4,True,True,24.060722,7.782591,1.344464,0.546768,0.000049,0.098030,14.159996,0.128673,-0.000115
4,4,False,True,19.545474,7.193492,1.697426,0.880988,0.000059,0.153130,9.501549,0.118749,-0.000081
5,5,False,True,18.833275,6.842932,1.189516,0.565242,0.000043,0.129077,9.895948,0.210420,-0.000060
5,5,True,True,28.434588,7.312333,1.378918,0.522488,0.000000,0.096009,18.912005,0.212675,-0.000121
6,6,False,True,19.592113,7.252422,1.182270,0.480341,0.000045,0.095973,10.265924,0.315023,-0.000080
6,6,True,True,33.105578,7.049753,1.293848,0.488433,0.000044,0.099228,23.864848,0.309238,-0.000151
7,7,False,True,19.785324,7.056041,1.209661,0.453200,0.000044,0.090244,10.534886,0.441108,-0.000102
7,7,True,True,36.799880,6.829622,1.192537,0.448377,0.000045,0.093294,27.776812,0.459193,0.000000
8,8,True,True,42.571868,6.982318,1.612148,0.488736,0.000046,0.114445,32.811027,0.563017,-0.000057
8,8,False,True,23.178959,7.337769,1.229518,0.494250,0.000043,0.096724,13.046255,0.974087,-0.000263
9,9,False,True,22.096889,7.218236,1.225279,0.437362,0.000050,0.097108,12.464107,0.654561,-0.000148
9,9,True,True,45.410700,7.405424,1.221892,0.474366,0.000044,0.096602,35.556511,0.655528,-0.000285
10,10,True,True,54.420621,7.548222,1.185524,0.453349,0.000044,0.103117,44.373975,0.756130,-0.000223
10,10,False,True,21.309621,7.322074,1.459564,0.432104,0.000043,0.102230,11.256517,0.736827,-0.000178
inf,inf,False,True,29.290709,6.825422,1.080228,0.431170,0.000046,0.094770,18.274851,2.583652,-0.000532
inf,inf,True,True,34.102655,7.533171,1.167427,0.453902,0.000049,0.104507,22.006545,2.836389,-0.000627
