key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
num_read,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169
num_writes,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
num_ops,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
num_rw_time_edges,240,227,208,195,178,162,150,134,133,131,119,0,285,272,253,238,213,191,175,159,158,155,142,0
num_ww_time_edges,0,0,0,0,0,0,0,0,0,0,0,0,62,62,62,56,50,46,42,42,42,40,34,0
num_time_edges,240,227,208,195,178,162,150,134,133,131,119,0,347,334,315,294,263,237,217,201,200,195,176,0
num_harmful,0,13,32,45,62,78,90,106,107,109,121,240,0,13,32,53,84,110,130,146,147,152,171,347
num_commute,3915,3915,3915,3915,3915,3915,3915,3915,3915,3915,3915,3915,3915,3915,3915,3915,3915,3915,3915,3915,3915,3915,3915,3915
num_races,3915,3928,3947,3960,3977,3993,4005,4021,4022,4024,4036,4155,3915,3928,3947,3968,3999,4025,4045,4061,4062,4067,4086,4262
num_covered,0,0,0,0,1,2,4,4,4,4,5,84,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_races,0,8,19,26,33,38,41,46,47,49,52,68,0,8,19,28,36,41,44,48,49,52,56,77
num_per_pkt_inconsistent,0,3,7,10,15,20,21,25,25,25,29,38,0,3,7,10,18,24,25,28,28,28,32,46
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,5,12,16,18,18,20,21,22,24,23,16,0,5,12,18,18,17,19,20,21,24,24,31
num_per_pkt_inconsistent_no_repeat,0,3,7,10,13,17,19,22,22,22,25,28,0,3,7,10,15,20,22,25,25,25,28,28
