rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,808,1154,234,169,65,240,4155,0,3915,0,240,77,0,0,0,0,0,73,0
1,1,False,True,808,1150,234,169,65,227,4155,13,3915,0,227,77,8,3,0,5,3,73,0
2,2,False,True,808,1146,234,169,65,208,4155,32,3915,0,208,77,19,7,0,12,7,73,0
3,3,False,True,808,1142,234,169,65,195,4155,45,3915,0,195,77,26,10,0,16,10,73,0
4,4,False,True,808,1139,234,169,65,178,4155,61,3915,1,178,77,33,15,0,18,13,73,0
5,5,False,True,808,1133,234,169,65,162,4155,76,3915,2,162,77,38,20,0,18,17,73,0
6,6,False,True,808,1126,234,169,65,150,4155,86,3915,4,150,77,41,21,0,20,19,73,0
7,7,False,True,808,1120,234,169,65,134,4155,102,3915,4,134,77,46,25,0,21,22,73,0
8,8,False,True,808,1120,234,169,65,133,4155,103,3915,4,133,77,47,25,0,22,22,73,0
9,9,False,True,808,1119,234,169,65,131,4155,105,3915,4,131,77,49,25,0,24,22,73,0
10,10,False,True,808,1111,234,169,65,119,4155,116,3915,5,119,77,52,29,0,23,25,73,0
inf,inf,False,True,808,1011,234,169,65,0,4155,156,3915,84,0,77,68,38,14,16,28,73,0
