rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,2.196107,1.755164,0.303846,0.036142,0.001735,0.082833,0.015595,0.000739,-0.000021
0,0,True,True,2.323426,1.780703,0.371902,0.042817,0.002065,0.108186,0.016738,0.000954,-0.000025
1,1,False,True,2.443376,2.006138,0.298655,0.035075,0.001775,0.078782,0.020139,0.002758,-0.000021
1,1,True,True,2.248701,1.801504,0.305005,0.034062,0.001809,0.081651,0.021816,0.002800,-0.000021
2,2,True,True,2.314556,1.841115,0.314779,0.034175,0.002007,0.092801,0.024546,0.005066,-0.000028
2,2,False,True,2.175513,1.733328,0.301485,0.033612,0.002091,0.078246,0.021906,0.004786,-0.000025
3,3,False,True,2.148688,1.699099,0.301200,0.032908,0.001875,0.080357,0.026253,0.006933,-0.000028
3,3,True,True,2.257441,1.789614,0.308973,0.035988,0.002477,0.084752,0.027847,0.007600,-0.000149
4,4,True,True,2.252030,1.771697,0.312065,0.032484,0.002308,0.082329,0.041525,0.009320,-0.000267
4,4,False,True,2.192764,1.737420,0.304509,0.032475,0.002018,0.082264,0.026235,0.007778,-0.000031
5,5,False,True,2.187005,1.719052,0.310696,0.031545,0.001671,0.083837,0.029924,0.010211,-0.000034
5,5,True,True,2.207734,1.718571,0.304385,0.030886,0.001788,0.082152,0.057318,0.012254,-0.000343
6,6,False,True,2.245038,1.785405,0.302811,0.029406,0.002338,0.083367,0.030441,0.011201,-0.000036
6,6,True,True,2.675743,2.175427,0.303198,0.029248,0.001852,0.081677,0.069970,0.013855,-0.000479
7,7,False,True,2.235962,1.766371,0.301500,0.030226,0.001888,0.084259,0.037740,0.013899,-0.000041
7,7,True,True,2.271736,1.761002,0.308561,0.033735,0.001928,0.083369,0.067161,0.015528,-0.000417
8,8,True,True,2.359831,1.836404,0.312383,0.029952,0.001774,0.089852,0.072330,0.016680,-0.000422
8,8,False,True,2.192059,1.738565,0.297327,0.027972,0.001732,0.079465,0.034669,0.012255,-0.000038
9,9,False,True,2.201315,1.744882,0.292992,0.027897,0.001749,0.082732,0.036253,0.014736,-0.000039
9,9,True,True,2.404927,1.894352,0.310898,0.029095,0.002303,0.083899,0.067802,0.016089,-0.000454
10,10,True,True,2.285553,1.774714,0.299067,0.028624,0.002955,0.085211,0.075813,0.018557,-0.000574
10,10,False,True,2.264962,1.801113,0.296879,0.028455,0.002614,0.081148,0.039658,0.015014,-0.000042
inf,inf,False,True,2.233724,1.760113,0.289086,0.025030,0.002160,0.078532,0.053467,0.025241,-0.000058
inf,inf,True,True,2.274114,1.717406,0.291718,0.025560,0.001762,0.090544,0.112898,0.032872,-0.001316
