key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,2868,2868,2868,2868,2868,2868,2868,2868,2868,2868,2868,2868
num_edges,4016,4010,4002,3994,3977,3968,3966,3966,3962,3953,3926,3703
num_ops,799,799,799,799,799,799,799,799,799,799,799,799
num_read,466,466,466,466,466,466,466,466,466,466,466,466
num_writes,333,333,333,333,333,333,333,333,333,333,333,333
num_time_edges,420,402,389,370,349,337,332,320,299,278,266,0
num_races,28906,28906,28906,28906,28906,28906,28906,28906,28906,28906,28906,28906
num_harmful,0,18,31,49,69,81,86,98,117,138,150,348
num_commute,28486,28486,28486,28486,28486,28486,28486,28486,28486,28486,28486,28486
num_covered,0,0,0,1,2,2,2,2,4,4,4,72
num_time_filtered_races,420,402,389,370,349,337,332,320,299,278,266,0
num_pkts,151,151,151,151,151,151,151,151,151,151,151,151
num_per_pkt_races,0,14,25,33,38,40,43,47,52,61,63,116
num_per_pkt_inconsistent,0,6,7,11,14,16,16,20,24,28,31,71
num_per_pkt_inconsistent_covered,0,0,0,1,2,2,2,2,4,4,4,14
num_per_pkt_entry_version_race,0,8,18,21,22,22,25,25,24,29,28,31
num_per_pkt_inconsistent_no_repeat,0,3,4,8,11,13,13,17,21,25,26,56
num_versions,360,360,360,360,360,360,360,360,360,360,360,360
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,0
