key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031
num_edges,1939,1932,1921,1912,1909,1899,1897,1883,1869,1841,1802,1438
num_ops,232,232,232,232,232,232,232,232,232,232,232,232
num_read,146,146,146,146,146,146,146,146,146,146,146,146
num_writes,86,86,86,86,86,86,86,86,86,86,86,86
num_time_edges,592,569,552,535,523,506,499,476,452,415,368,0
num_races,3086,3086,3086,3086,3086,3086,3086,3086,3086,3086,3086,3086
num_harmful,0,23,36,49,61,76,83,101,124,160,206,307
num_commute,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494
num_covered,0,0,4,8,8,10,10,15,16,17,18,285
num_time_filtered_races,592,569,552,535,523,506,499,476,452,415,368,0
num_pkts,51,51,51,51,51,51,51,51,51,51,51,51
num_per_pkt_races,0,15,17,21,24,28,29,32,36,40,43,46
num_per_pkt_inconsistent,0,15,17,19,21,22,24,25,28,30,32,32
num_per_pkt_inconsistent_covered,0,0,0,1,1,1,1,2,2,3,3,12
num_per_pkt_entry_version_race,0,0,0,1,2,5,4,5,6,7,8,2
num_per_pkt_inconsistent_no_repeat,0,13,15,17,19,20,20,21,22,21,21,22
num_versions,39,39,39,39,39,39,39,39,39,39,39,39
num_racing_versions,0,0,2,3,3,4,4,5,7,12,18,25
