rw_delta,ww_delta,alt_barr,data_deps,num_read,num_writes,num_ops,num_rw_time_edges,num_ww_time_edges,num_time_edges,num_harmful,num_commute,num_races,num_covered,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat
0,0,False,True,202,104,306,1148,287,1435,0,6564,6564,0,0,0,0,0,0
0,0,True,True,202,104,306,1226,446,1672,0,7126,7126,0,0,0,0,0,0
1,1,False,True,202,104,306,1112,284,1396,39,6564,6603,0,22,10,0,12,10
1,1,True,True,202,104,306,1177,440,1617,55,7126,7181,0,24,9,0,15,9
2,2,False,True,202,104,306,1086,283,1369,66,6564,6630,2,27,16,1,10,16
2,2,True,True,202,104,306,1151,439,1590,82,7126,7208,0,29,16,0,13,16
3,3,False,True,202,104,306,1067,283,1350,85,6564,6649,5,35,20,1,14,19
3,3,True,True,202,104,306,1132,439,1571,101,7126,7227,0,37,19,0,18,19
4,4,False,True,202,104,306,1049,277,1326,109,6564,6673,7,43,25,3,15,21
4,4,True,True,202,104,306,1114,433,1547,125,7126,7251,0,45,24,0,21,21
5,5,False,True,202,104,306,1041,274,1315,120,6564,6684,8,46,27,3,16,22
5,5,True,True,202,104,306,1106,430,1536,136,7126,7262,0,48,26,0,22,22
6,6,False,True,202,104,306,1038,274,1312,123,6564,6687,8,47,27,3,17,21
6,6,True,True,202,104,306,1103,430,1533,139,7126,7265,0,49,26,0,23,21
7,7,False,True,202,104,306,1010,270,1280,155,6564,6719,9,50,29,4,17,23
7,7,True,True,202,104,306,1072,401,1473,199,7126,7325,0,52,28,0,24,23
8,8,False,True,202,104,306,962,247,1209,226,6564,6790,17,55,32,4,19,25
8,8,True,True,202,104,306,1010,340,1350,322,7126,7448,0,57,31,0,26,25
9,9,False,True,202,104,306,907,199,1106,329,6564,6893,54,64,38,6,20,26
9,9,True,True,202,104,306,949,268,1217,455,7126,7581,0,66,37,0,29,26
10,10,False,True,202,104,306,828,180,1008,427,6564,6991,92,74,43,9,22,31
10,10,True,True,202,104,306,865,248,1113,559,7126,7685,0,76,42,0,34,31
inf,inf,False,True,202,104,306,0,0,0,1435,6564,7999,551,83,50,22,11,25
inf,inf,True,True,202,104,306,0,0,0,1672,7126,8798,0,85,49,0,36,24
