rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,4362,12330,957,453,504,6429,34385,0,27956,0,6429,86,0,0,0,0,0,139,0
1,1,False,True,4362,12265,957,453,504,6327,34385,97,27956,5,6327,86,52,45,0,7,24,139,1
2,2,False,True,4362,12202,957,453,504,6201,34385,219,27956,9,6201,86,59,58,0,1,51,139,3
3,3,False,True,4362,12151,957,453,504,6086,34385,330,27956,13,6086,86,61,60,0,1,54,139,5
4,4,False,True,4362,12090,957,453,504,6005,34385,405,27956,19,6005,86,62,60,0,2,54,139,8
5,5,False,True,4362,12033,957,453,504,5939,34385,464,27956,26,5939,86,64,62,0,2,56,139,11
6,6,False,True,4362,11992,957,453,504,5889,34385,512,27956,28,5889,86,64,63,0,1,56,139,12
7,7,False,True,4362,11907,957,453,504,5796,34385,604,27956,29,5796,86,67,66,0,1,60,139,24
8,8,False,True,4362,11768,957,453,504,5649,34385,737,27956,43,5649,86,68,66,1,1,60,139,42
9,9,False,True,4362,11566,957,453,504,5441,34385,901,27956,87,5441,86,69,66,2,1,61,139,69
10,10,False,True,4362,11326,957,453,504,5197,34385,1073,27956,159,5197,86,69,66,2,1,61,139,98
inf,inf,False,True,4362,6205,957,453,504,0,34385,3715,27956,2714,0,86,81,76,4,1,75,139,476
