rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,30.392348,18.277606,7.905452,2.003432,0.015706,0.069787,2.117505,0.002749,-0.000071
1,1,False,True,32.735993,18.650094,7.223510,1.921344,0.018203,0.062141,4.795091,0.064756,-0.000814
2,2,False,True,34.828132,18.446153,7.095159,1.653519,0.015757,0.066092,7.465185,0.083430,-0.002787
3,3,False,True,36.536642,18.668954,6.813652,1.549992,0.015885,0.068948,9.279629,0.135968,-0.003574
4,4,False,True,36.702052,18.807484,6.728000,1.476441,0.016950,0.065624,9.426539,0.175267,-0.005706
5,5,False,True,35.702844,18.407085,6.474815,1.478907,0.017074,0.064726,9.073692,0.176997,-0.009476
6,6,False,True,37.012044,18.778711,6.713097,1.444439,0.019006,0.070582,9.792866,0.184919,-0.008384
7,7,False,True,37.554756,18.783231,6.700547,1.482542,0.018949,0.068786,10.296125,0.193520,-0.011013
8,8,False,True,37.788644,18.464348,6.391428,1.429127,0.018708,0.063257,11.175883,0.230079,-0.015772
9,9,False,True,39.504936,18.098278,6.091980,1.459473,0.016091,0.062517,13.499233,0.245287,-0.032018
10,10,False,True,46.448460,18.433638,6.281052,1.438494,0.016208,0.064693,19.863081,0.306362,-0.044879
inf,inf,False,True,59.534793,18.569150,5.378325,1.489367,0.015146,0.076335,32.316242,1.398492,-0.291681
