key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,432,432,432,432,432,432,432,432,432,432,432,432
num_edges,833,833,831,831,829,829,829,824,821,811,792,545
num_ops,123,123,123,123,123,123,123,123,123,123,123,123
num_read,103,103,103,103,103,103,103,103,103,103,103,103
num_writes,20,20,20,20,20,20,20,20,20,20,20,20
num_time_edges,378,374,365,353,343,340,328,311,302,276,248,0
num_races,940,940,940,940,940,940,940,940,940,940,940,940
num_harmful,0,4,10,16,21,22,30,39,46,57,66,70
num_commute,562,562,562,562,562,562,562,562,562,562,562,562
num_covered,0,0,3,9,14,16,20,28,30,45,64,308
num_time_filtered_races,378,374,365,353,343,340,328,311,302,276,248,0
num_pkts,50,50,50,50,50,50,50,50,50,50,50,50
num_per_pkt_races,0,5,9,15,19,20,26,32,35,43,48,48
num_per_pkt_inconsistent,0,4,6,9,10,11,15,17,19,24,25,25
num_per_pkt_inconsistent_covered,0,0,2,5,7,8,10,14,15,18,22,22
num_per_pkt_entry_version_race,0,1,1,1,2,1,1,1,1,1,1,1
num_per_pkt_inconsistent_no_repeat,0,3,4,4,4,4,4,5,5,7,7,5
num_versions,14,14,14,14,14,14,14,14,14,14,14,14
num_racing_versions,0,0,1,1,2,2,2,3,3,3,4,4
