rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,432,833,123,103,20,378,940,0,562,0,378,50,0,0,0,0,0,14,0
1,1,False,True,432,833,123,103,20,374,940,4,562,0,374,50,5,4,0,1,3,14,0
2,2,False,True,432,831,123,103,20,365,940,10,562,3,365,50,9,6,2,1,4,14,1
3,3,False,True,432,831,123,103,20,353,940,16,562,9,353,50,15,9,5,1,4,14,1
4,4,False,True,432,829,123,103,20,343,940,21,562,14,343,50,19,10,7,2,4,14,2
5,5,False,True,432,829,123,103,20,340,940,22,562,16,340,50,20,11,8,1,4,14,2
6,6,False,True,432,829,123,103,20,328,940,30,562,20,328,50,26,15,10,1,4,14,2
7,7,False,True,432,824,123,103,20,311,940,39,562,28,311,50,32,17,14,1,5,14,3
8,8,False,True,432,821,123,103,20,302,940,46,562,30,302,50,35,19,15,1,5,14,3
9,9,False,True,432,811,123,103,20,276,940,57,562,45,276,50,43,24,18,1,7,14,3
10,10,False,True,432,792,123,103,20,248,940,66,562,64,248,50,48,25,22,1,7,14,4
inf,inf,False,True,432,545,123,103,20,0,940,70,562,308,0,50,48,25,22,1,5,14,4
