rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.624588,0.416819,0.092195,0.038070,0.001162,0.012490,0.063500,0.000296,-0.000008
0,0,True,True,0.570195,0.409822,0.085221,0.031405,0.000701,0.012340,0.030359,0.000278,-0.000007
1,1,False,True,0.640539,0.432208,0.090452,0.036774,0.000773,0.012342,0.066845,0.001080,-0.000008
1,1,True,True,0.576090,0.414376,0.085333,0.030066,0.000622,0.011833,0.032954,0.000836,-0.000014
2,2,False,True,0.632162,0.422968,0.088369,0.038440,0.000799,0.013048,0.066978,0.001477,-0.000033
2,2,True,True,0.570014,0.406730,0.084409,0.030385,0.000614,0.012370,0.034142,0.001271,-0.000033
3,3,False,True,0.635610,0.425119,0.086932,0.033780,0.000645,0.012157,0.074890,0.002007,-0.000034
3,3,True,True,0.579448,0.413336,0.085162,0.029545,0.000614,0.012186,0.036704,0.001805,-0.000035
4,4,False,True,0.647773,0.437187,0.085784,0.034235,0.000655,0.011689,0.075904,0.002214,-0.000052
4,4,True,True,0.567673,0.404724,0.080621,0.029705,0.000613,0.011705,0.038003,0.002191,-0.000054
5,5,False,True,0.637560,0.429716,0.085641,0.032734,0.000755,0.013393,0.072850,0.002353,-0.000053
5,5,True,True,0.566657,0.403016,0.082037,0.013522,0.000690,0.026475,0.038493,0.002290,-0.000074
6,6,False,True,0.653821,0.432189,0.092126,0.032976,0.000662,0.011859,0.080667,0.003234,-0.000057
6,6,True,True,0.572697,0.407887,0.080329,0.013210,0.000659,0.026619,0.040732,0.003143,-0.000058
7,7,False,True,0.645987,0.423906,0.086658,0.031985,0.000634,0.012572,0.086187,0.003917,-0.000071
7,7,True,True,0.624409,0.434416,0.090373,0.013676,0.000622,0.029783,0.051479,0.003939,-0.000072
8,8,False,True,0.659520,0.430219,0.084862,0.033391,0.000634,0.011785,0.094744,0.003763,-0.000076
8,8,True,True,0.629364,0.426324,0.081963,0.011342,0.000687,0.028289,0.075596,0.004947,-0.000169
9,9,False,True,0.674616,0.437045,0.088949,0.013900,0.000665,0.028021,0.100572,0.005328,-0.000084
9,9,True,True,0.648207,0.428782,0.079795,0.010249,0.000696,0.026989,0.095578,0.005897,-0.000171
10,10,False,True,0.646209,0.411506,0.075983,0.011615,0.000714,0.029444,0.110704,0.006086,-0.000095
10,10,True,True,0.686454,0.434897,0.083367,0.011253,0.000650,0.014696,0.133489,0.007775,-0.000274
inf,inf,False,True,0.683707,0.422359,0.075279,0.020919,0.001155,0.029058,0.120484,0.014256,-0.000145
inf,inf,True,True,0.669231,0.409236,0.074124,0.009940,0.000608,0.014237,0.143338,0.017300,-0.000383
