rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.590898,0.386350,0.085873,0.041366,0.000624,0.012458,0.063839,0.000347,-0.000008
1,1,False,True,0.577869,0.383240,0.084342,0.033973,0.000714,0.011805,0.062708,0.001044,-0.000010
2,2,False,True,0.595680,0.394229,0.084423,0.035112,0.000624,0.011871,0.067971,0.001374,-0.000035
3,3,False,True,0.574864,0.381021,0.081085,0.031640,0.000674,0.011430,0.066924,0.002021,-0.000037
4,4,False,True,0.578398,0.384158,0.080672,0.031306,0.000612,0.011294,0.067813,0.002452,-0.000056
5,5,False,True,0.581452,0.383447,0.078902,0.035163,0.000578,0.012115,0.068567,0.002587,-0.000059
6,6,False,True,0.579208,0.381939,0.078297,0.030250,0.000553,0.011580,0.073288,0.003204,-0.000063
7,7,False,True,0.596471,0.394072,0.078028,0.029208,0.000561,0.011387,0.079320,0.003785,-0.000076
8,8,False,True,0.587916,0.378918,0.075177,0.030332,0.000552,0.011682,0.086791,0.004345,-0.000086
9,9,False,True,0.591615,0.376213,0.073112,0.027721,0.000545,0.011407,0.096841,0.005649,-0.000094
10,10,False,True,0.607207,0.377952,0.076928,0.011461,0.000525,0.029064,0.104424,0.006701,-0.000119
inf,inf,False,True,0.635304,0.397913,0.068778,0.011031,0.000520,0.030406,0.110472,0.015972,-0.000179
