rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,193,264,45,37,8,59,242,0,183,0,59,34,0,0,0,0,0,5,0
1,1,False,True,193,264,45,37,8,57,242,2,183,0,57,34,2,0,0,2,0,5,0
2,2,False,True,193,264,45,37,8,54,242,3,183,2,54,34,5,0,2,3,0,5,0
3,3,False,True,193,264,45,37,8,52,242,4,183,3,52,34,7,0,3,4,0,5,0
4,4,False,True,193,264,45,37,8,49,242,5,183,5,49,34,10,0,5,5,0,5,0
5,5,False,True,193,264,45,37,8,47,242,7,183,5,47,34,12,0,5,7,0,5,0
6,6,False,True,193,264,45,37,8,43,242,9,183,7,43,34,16,0,7,9,0,5,0
7,7,False,True,193,264,45,37,8,39,242,11,183,9,39,34,20,0,9,11,0,5,0
8,8,False,True,193,264,45,37,8,34,242,14,183,11,34,34,25,0,11,14,0,5,0
9,9,False,True,193,264,45,37,8,31,242,14,183,14,31,34,28,0,14,14,0,5,0
10,10,False,True,193,264,45,37,8,31,242,14,183,14,31,34,28,0,14,14,0,5,0
inf,inf,False,True,193,233,45,37,8,0,242,17,183,42,0,34,31,0,28,3,0,5,0
