rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.088174,0.061001,0.012868,0.007107,0.000274,0.003786,0.002984,0.000136,0.000008
1,1,False,True,0.087755,0.060667,0.012693,0.007158,0.000278,0.003812,0.002993,0.000135,0.000009
2,2,False,True,0.087452,0.060282,0.012582,0.007064,0.000267,0.003813,0.003063,0.000362,0.000010
3,3,False,True,0.086190,0.059390,0.012508,0.006897,0.000266,0.003705,0.003048,0.000357,0.000010
4,4,False,True,0.087619,0.060466,0.012339,0.006838,0.000268,0.003753,0.003471,0.000464,0.000011
5,5,False,True,0.088070,0.060605,0.012446,0.006839,0.000277,0.003876,0.003513,0.000492,0.000011
6,6,False,True,0.075451,0.055125,0.009112,0.005072,0.000206,0.002958,0.002542,0.000419,0.000009
7,7,False,True,0.085789,0.059572,0.011678,0.006131,0.000264,0.003705,0.003717,0.000699,0.000013
8,8,False,True,0.087182,0.060420,0.011794,0.006254,0.000270,0.003808,0.003883,0.000729,0.000014
9,9,False,True,0.086072,0.059716,0.011731,0.006102,0.000272,0.003700,0.003800,0.000728,0.000014
10,10,False,True,0.087044,0.060320,0.011846,0.006192,0.000268,0.003774,0.003885,0.000735,0.000014
inf,inf,False,True,0.087544,0.060118,0.011618,0.006122,0.000266,0.003783,0.004226,0.001367,0.000034
