rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.181918,0.130727,0.020890,0.007844,0.000232,0.010849,0.011108,0.000230,-0.000006
1,1,False,True,0.180320,0.129946,0.020585,0.007934,0.000288,0.010542,0.010660,0.000327,-0.000008
2,2,False,True,0.184868,0.133782,0.020281,0.007481,0.000229,0.010981,0.011552,0.000521,-0.000008
3,3,False,True,0.192109,0.136549,0.021351,0.007158,0.000229,0.013493,0.012762,0.000524,-0.000008
4,4,False,True,0.182146,0.130720,0.019937,0.007055,0.000230,0.011164,0.012370,0.000629,-0.000010
5,5,False,True,0.180421,0.130556,0.019913,0.006715,0.000233,0.011007,0.011108,0.000846,-0.000011
6,6,False,True,0.179701,0.128907,0.019107,0.006244,0.000225,0.011369,0.012841,0.000965,-0.000011
7,7,False,True,0.177990,0.128440,0.018718,0.005868,0.000224,0.011070,0.012577,0.001048,-0.000013
8,8,False,True,0.178999,0.130306,0.018409,0.005408,0.000224,0.010701,0.012630,0.001277,-0.000013
9,9,False,True,0.187018,0.134103,0.019199,0.005549,0.000244,0.011200,0.015054,0.001619,-0.000016
10,10,False,True,0.179711,0.129210,0.018014,0.005277,0.000226,0.010741,0.014724,0.001471,-0.000015
inf,inf,False,True,0.180916,0.129461,0.017656,0.005363,0.000227,0.011038,0.014760,0.002356,-0.000022
