key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
num_events,4283,4283,4283,4283,4283,4283,4283,4283,4283,4283,4283,4283
num_edges,6110,6105,6102,6098,6093,6085,6081,6076,6074,6069,6066,5954
num_ops,880,880,880,880,880,880,880,880,880,880,880,880
num_read,413,413,413,413,413,413,413,413,413,413,413,413
num_writes,467,467,467,467,467,467,467,467,467,467,467,467
num_time_edges,271,256,242,232,216,197,189,180,172,163,155,0
num_races,12509,12509,12509,12509,12509,12509,12509,12509,12509,12509,12509,12509
num_harmful,0,13,24,31,41,54,59,65,70,74,77,146
num_commute,12238,12238,12238,12238,12238,12238,12238,12238,12238,12238,12238,12238
num_covered,0,2,5,8,14,20,23,26,29,34,39,125
num_time_filtered_races,271,256,242,232,216,197,189,180,172,163,155,0
num_pkts,92,92,92,92,92,92,92,92,92,92,92,92
num_per_pkt_races,0,37,61,63,64,65,65,66,68,69,70,86
num_per_pkt_inconsistent,0,36,54,55,56,59,59,59,59,59,59,64
num_per_pkt_inconsistent_covered,0,0,1,1,2,2,2,2,2,3,3,12
num_per_pkt_entry_version_race,0,1,6,7,6,4,4,5,7,7,8,10
num_per_pkt_inconsistent_no_repeat,0,9,15,20,23,30,31,32,32,32,32,50
num_versions,148,148,148,148,148,148,148,148,148,148,148,148
num_racing_versions,0,0,0,0,0,0,0,0,0,0,0,2
