rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,4283,6110,880,413,467,271,12509,0,12238,0,271,92,0,0,0,0,0,148,0
1,1,False,True,4283,6105,880,413,467,256,12509,13,12238,2,256,92,37,36,0,1,9,148,0
2,2,False,True,4283,6102,880,413,467,242,12509,24,12238,5,242,92,61,54,1,6,15,148,0
3,3,False,True,4283,6098,880,413,467,232,12509,31,12238,8,232,92,63,55,1,7,20,148,0
4,4,False,True,4283,6093,880,413,467,216,12509,41,12238,14,216,92,64,56,2,6,23,148,0
5,5,False,True,4283,6085,880,413,467,197,12509,54,12238,20,197,92,65,59,2,4,30,148,0
6,6,False,True,4283,6081,880,413,467,189,12509,59,12238,23,189,92,65,59,2,4,31,148,0
7,7,False,True,4283,6076,880,413,467,180,12509,65,12238,26,180,92,66,59,2,5,32,148,0
8,8,False,True,4283,6074,880,413,467,172,12509,70,12238,29,172,92,68,59,2,7,32,148,0
9,9,False,True,4283,6069,880,413,467,163,12509,74,12238,34,163,92,69,59,3,7,32,148,0
10,10,False,True,4283,6066,880,413,467,155,12509,77,12238,39,155,92,70,59,3,8,32,148,0
inf,inf,False,True,4283,5954,880,413,467,0,12509,146,12238,125,0,92,86,64,12,10,50,148,2
