rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,22.437814,9.533745,7.408090,3.737972,0.011439,0.081302,1.657073,0.008094,0.000085
1,1,False,True,23.234992,9.530880,7.501120,3.779861,0.011513,0.079178,2.214563,0.117772,0.000091
2,2,False,True,24.555277,9.773791,7.559258,3.818990,0.011403,0.080134,3.245619,0.065974,0.000084
3,3,False,True,24.722994,9.512625,7.520381,3.767303,0.011429,0.077956,3.768517,0.064680,0.000089
4,4,False,True,25.032422,9.470670,7.368199,3.728125,0.011292,0.076373,4.314755,0.062906,0.000088
5,5,False,True,27.902970,9.786619,7.427893,3.956186,0.012426,0.077737,6.589852,0.052140,0.000093
6,6,False,True,28.166316,9.691459,7.399189,3.928233,0.012099,0.077714,7.002918,0.054582,0.000099
7,7,False,True,28.504165,9.520783,7.292055,3.715233,0.011476,0.079812,7.823625,0.061054,0.000111
8,8,False,True,29.269713,9.510753,7.349133,3.719344,0.011801,0.080721,8.535146,0.062687,0.000114
9,9,False,True,29.332591,9.506531,7.332945,3.668314,0.011476,0.080951,8.668837,0.063406,0.000115
10,10,False,True,29.557046,9.653215,7.313102,3.705411,0.011471,0.078391,8.732049,0.063261,0.000128
inf,inf,False,True,29.621954,9.538843,7.334590,3.667376,0.011385,0.080044,8.902821,0.086420,0.000459
