rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,19.118189,14.877903,2.506509,1.269092,0.012870,0.087645,0.360664,0.003364,-0.000100
1,1,False,True,19.283760,14.947724,2.515331,1.347621,0.011780,0.084482,0.355717,0.020969,-0.000095
2,2,False,True,19.284239,14.973859,2.493398,1.338070,0.011626,0.087915,0.354869,0.024366,-0.000096
3,3,False,True,19.280822,14.874672,2.474360,1.312972,0.012203,0.083772,0.485619,0.037077,-0.000105
4,4,False,True,19.391498,14.952629,2.488185,1.262171,0.011668,0.083697,0.545693,0.047307,-0.000107
5,5,False,True,19.393662,14.947153,2.482802,1.257538,0.011699,0.082345,0.579389,0.032591,-0.000104
6,6,False,True,19.458538,14.954470,2.484358,1.252801,0.011940,0.085067,0.637749,0.032005,-0.000106
7,7,False,True,19.434381,14.879304,2.481227,1.246496,0.011887,0.086786,0.691606,0.036922,-0.000111
8,8,False,True,19.502030,14.865570,2.468365,1.238529,0.013582,0.085949,0.790315,0.039570,-0.000110
9,9,False,True,19.812432,15.155211,2.474069,1.239253,0.011935,0.084864,0.796280,0.050651,-0.000118
10,10,False,True,19.705504,14.952801,2.492218,1.310509,0.011781,0.083761,0.806198,0.048081,-0.000113
inf,inf,False,True,21.441983,14.899207,2.215537,1.089464,0.011828,0.086131,2.813258,0.297046,-0.029472
