rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,303,450,67,51,16,70,276,0,206,0,70,20,0,0,0,0,0,27,0
1,1,False,True,303,450,67,51,16,68,276,1,206,1,68,20,1,0,1,0,0,27,0
2,2,False,True,303,449,67,51,16,62,276,4,206,4,62,20,3,0,3,0,0,27,0
3,3,False,True,303,449,67,51,16,60,276,5,206,5,60,20,4,0,4,0,0,27,0
4,4,False,True,303,448,67,51,16,52,276,8,206,10,52,20,7,0,7,0,0,27,0
5,5,False,True,303,448,67,51,16,48,276,8,206,14,48,20,9,0,9,0,0,27,0
6,6,False,True,303,448,67,51,16,40,276,9,206,21,40,20,13,0,13,0,0,27,0
7,7,False,True,303,447,67,51,16,38,276,10,206,22,38,20,13,0,13,0,0,27,0
8,8,False,True,303,447,67,51,16,36,276,10,206,24,36,20,14,0,14,0,0,27,0
9,9,False,True,303,447,67,51,16,35,276,11,206,24,35,20,14,0,14,0,0,27,0
10,10,False,True,303,446,67,51,16,34,276,11,206,25,34,20,14,0,14,0,0,27,0
inf,inf,False,True,303,413,67,51,16,0,276,16,206,54,0,20,17,1,14,2,1,27,0
