rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.673623,0.452153,0.079494,0.039262,0.000651,0.013529,0.088152,0.000297,-0.000008
0,0,True,True,0.602434,0.447790,0.075458,0.031515,0.000570,0.012509,0.034160,0.000374,-0.000008
1,1,False,True,0.694737,0.468063,0.079071,0.040364,0.001090,0.013738,0.091271,0.001070,-0.000008
1,1,True,True,0.602125,0.439239,0.076395,0.035008,0.000594,0.012948,0.037011,0.000872,-0.000013
2,2,False,True,0.660394,0.445173,0.072020,0.037032,0.000558,0.012892,0.090962,0.001688,-0.000010
2,2,True,True,0.627207,0.458490,0.071529,0.033201,0.000551,0.013234,0.047818,0.002301,-0.000024
3,3,False,True,0.693631,0.460019,0.082368,0.034204,0.000544,0.012365,0.101885,0.002178,-0.000012
3,3,True,True,0.613167,0.438839,0.071670,0.034112,0.000540,0.013344,0.050825,0.003756,-0.000023
4,4,False,True,0.683765,0.455605,0.074257,0.036011,0.000568,0.012467,0.101592,0.003201,-0.000014
4,4,True,True,0.615056,0.447994,0.073418,0.013430,0.000633,0.030472,0.045973,0.003061,-0.000019
5,5,False,True,0.690960,0.451463,0.069788,0.035834,0.000596,0.012990,0.116892,0.003326,-0.000014
5,5,True,True,0.608255,0.443252,0.065605,0.012617,0.000560,0.029160,0.052724,0.004204,-0.000033
6,6,False,True,0.670311,0.444439,0.067845,0.036995,0.000748,0.012943,0.103501,0.003764,-0.000017
6,6,True,True,0.597518,0.433429,0.067206,0.012693,0.000503,0.028516,0.050444,0.004646,-0.000023
7,7,False,True,0.655829,0.427386,0.067566,0.032842,0.000682,0.013464,0.109470,0.004344,-0.000017
7,7,True,True,0.638912,0.465245,0.069536,0.010572,0.000525,0.031776,0.055116,0.006009,-0.000050
8,8,False,True,0.697054,0.451707,0.067897,0.032383,0.000966,0.015667,0.121439,0.006913,-0.000024
8,8,True,True,0.614892,0.445464,0.066764,0.010374,0.000517,0.028609,0.057458,0.005633,-0.000026
9,9,False,True,0.695841,0.453023,0.068272,0.016156,0.000661,0.032240,0.120168,0.005242,-0.000020
9,9,True,True,0.609316,0.449244,0.065547,0.010798,0.000563,0.015474,0.060964,0.006639,-0.000029
10,10,False,True,0.668125,0.436200,0.065960,0.013296,0.000532,0.027962,0.118868,0.005224,-0.000027
10,10,True,True,0.598567,0.448748,0.063291,0.009675,0.000545,0.013486,0.056918,0.005829,-0.000026
inf,inf,False,True,0.719624,0.478769,0.063542,0.012961,0.000484,0.029468,0.123431,0.010885,-0.000035
inf,inf,True,True,0.665492,0.459956,0.068365,0.009707,0.000504,0.013086,0.099855,0.013836,-0.000136
