rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.590102,0.390244,0.071404,0.036435,0.000501,0.011686,0.079441,0.000349,-0.000009
1,1,False,True,0.590352,0.388180,0.069268,0.035073,0.000572,0.011441,0.084651,0.001122,-0.000011
2,2,False,True,0.605657,0.394691,0.070466,0.035896,0.000514,0.011296,0.090746,0.001997,-0.000016
3,3,False,True,0.604831,0.395134,0.067038,0.034069,0.000530,0.011382,0.094198,0.002424,-0.000018
4,4,False,True,0.589241,0.385071,0.064298,0.032210,0.000512,0.011259,0.092855,0.002983,-0.000021
5,5,False,True,0.600621,0.387878,0.062060,0.031973,0.000480,0.014890,0.099399,0.003881,-0.000026
6,6,False,True,0.604938,0.391048,0.063990,0.031080,0.000494,0.011330,0.102810,0.004125,-0.000028
7,7,False,True,0.613732,0.395597,0.060270,0.039538,0.000487,0.011643,0.101271,0.004857,-0.000031
8,8,False,True,0.603981,0.390762,0.058464,0.029966,0.000574,0.011832,0.107044,0.005273,-0.000032
9,9,False,True,0.606816,0.396338,0.058918,0.011915,0.000474,0.026132,0.107058,0.005913,-0.000035
10,10,False,True,0.603187,0.391390,0.058627,0.012492,0.000461,0.026604,0.107851,0.005692,-0.000035
inf,inf,False,True,0.617701,0.390318,0.064561,0.012430,0.000464,0.026696,0.113648,0.009494,-0.000058
