rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,203,282,48,40,8,74,312,0,238,0,74,38,0,0,0,0,0,6,0
1,1,False,True,203,282,48,40,8,70,312,2,238,2,70,38,4,0,2,2,0,6,0
2,2,False,True,203,282,48,40,8,65,312,6,238,3,65,38,9,0,3,6,0,6,0
3,3,False,True,203,282,48,40,8,62,312,8,238,4,62,38,12,0,4,8,0,6,0
4,4,False,True,203,282,48,40,8,59,312,10,238,5,59,38,15,0,5,10,0,6,0
5,5,False,True,203,282,48,40,8,57,312,11,238,6,57,38,17,0,6,11,0,6,0
6,6,False,True,203,282,48,40,8,49,312,18,238,7,49,38,25,0,7,18,0,6,0
7,7,False,True,203,282,48,40,8,43,312,21,238,10,43,38,31,0,10,21,0,6,0
8,8,False,True,203,282,48,40,8,42,312,22,238,10,42,38,32,0,10,22,0,6,0
9,9,False,True,203,282,48,40,8,40,312,23,238,11,40,38,34,0,11,23,0,6,0
10,10,False,True,203,282,48,40,8,40,312,23,238,11,40,38,34,0,11,23,0,6,0
inf,inf,False,True,203,242,48,40,8,0,312,34,238,40,0,38,36,0,29,7,0,6,1
