rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.126519,0.088390,0.019064,0.008014,0.000275,0.003850,0.006720,0.000188,0.000009
1,1,False,True,0.124832,0.086931,0.018973,0.007986,0.000267,0.003749,0.006732,0.000176,0.000009
2,2,False,True,0.126640,0.088717,0.018721,0.007855,0.000271,0.003813,0.006940,0.000305,0.000010
3,3,False,True,0.126664,0.088772,0.018640,0.007646,0.000271,0.003799,0.007140,0.000377,0.000010
4,4,False,True,0.126173,0.087968,0.018436,0.007437,0.000269,0.003776,0.007810,0.000457,0.000011
5,5,False,True,0.126645,0.088523,0.018373,0.007311,0.000269,0.003737,0.007838,0.000573,0.000012
6,6,False,True,0.124362,0.087314,0.017949,0.006949,0.000275,0.003739,0.007443,0.000670,0.000014
7,7,False,True,0.124557,0.087580,0.017327,0.006374,0.000266,0.003783,0.008268,0.000935,0.000015
8,8,False,True,0.125655,0.088418,0.017236,0.006173,0.000274,0.003778,0.008702,0.001049,0.000016
9,9,False,True,0.133369,0.095793,0.017310,0.006308,0.000269,0.003962,0.008661,0.001042,0.000016
10,10,False,True,0.123769,0.086727,0.017183,0.006157,0.000277,0.003720,0.008641,0.001039,0.000017
inf,inf,False,True,0.127331,0.088289,0.017078,0.006312,0.000286,0.003894,0.009474,0.001949,0.000039
